,imdb_movie_Id,Rating
0,114709,8.3
1,113497,7
2,113228,6.7
3,114885,6
4,113041,6.1
5,113277,8.2
6,114319,6.3
7,112302,5.5
8,114576,5.8
9,113189,7.2
10,112346,6.8
11,112896,5.9
12,112453,7.1
13,113987,7.1
14,112760,5.7
15,112641,8.2
16,114388,7.7
17,113101,6.8
18,112281,6.4
19,113845,5.7
20,113161,6.9
21,112722,6.6
22,112401,6.3
23,114168,6.6
24,113627,7.5
25,114057,6.9
26,114011,6.8
27,114117,7.7
28,112682,7.5
29,115012,7.1
30,112792,6.5
31,114746,8
32,112431,6.8
33,112818,7.5
34,113442,5.9
35,112697,6.9
36,112749,6.8
37,114279,7.4
38,112819,6.9
39,114272,6.6
40,113855,5.8
41,114681,6.8
42,113347,6.3
43,114369,8.6
44,114148,6.7
45,114916,6.5
46,114814,8.5
47,113819,7
48,110299,7.5
49,112499,5.6
50,113158,6.6
51,113321,6.6
52,110877,7.7
53,113419,6
54,116260,6.2
55,113862,7.3
56,116126,6.6
57,118002,5.3
58,115683,4.5
59,116839,2.5
60,113149,6.4
61,113118,7.3
62,116367,7.2
63,113010,4.3
64,113537,6.8
65,113828,7.5
66,115644,6.1
67,115676,4.8
68,114367,6.4
69,113973,7.2
70,112744,6.3
71,116731,5.7
72,112445,7.7
73,114660,6.8
74,112379,7.5
75,114039,7.2
76,112365,6.8
77,118158,6.6
78,116151,5.4
79,115697,6.3
80,113972,6.3
81,117002,5.8
82,114825,4.6
83,115639,7.1
84,115759,6.1
85,113403,7.2
86,113247,8.1
87,113283,6.5
88,115907,6.2
89,115734,7
90,117102,3.8
91,118040,6
92,116483,7
93,112579,7.6
94,110251,7.2
95,117110,7
96,112646,6.9
97,112573,8.3
98,75314,8.2
99,113326,6.8
100,115645,6.1
101,112373,8.1
102,115033,7.1
103,116606,4.9
104,114536,4.8
105,106473,7.5
106,103859,5.6
107,109424,8.1
108,116324,6.7
109,110647,3.2
110,110217,7.1
111,114131,5.8
112,113451,5.3
113,116130,6.2
114,113756,6
115,118055,6.2
116,115685,7.1
117,112585,6.6
118,112442,6.9
119,112342,5.8
120,112461,7.3
121,112427,5.9
122,109093,6.9
123,112384,7.6
124,114287,6.9
125,112288,6.5
126,112462,5.4
127,61395,7.7
128,112495,6.6
129,112541,6.7
130,109370,5.9
131,112642,6.1
132,112688,6.9
133,112715,5.2
134,112740,7.3
135,109508,8
136,112851,7.2
137,112857,6.7
138,112864,7.6
139,112887,6.1
140,113071,6
141,113114,5.1
142,113243,6.3
143,113464,6.8
144,113481,5.7
145,113492,5.6
146,113500,4.3
147,113540,7.1
148,113677,7.5
149,113690,6.1
150,107447,6.7
151,113729,5.4
152,113749,7.1
153,113820,5.2
154,110604,6.7
155,110620,6.1
156,113957,5.9
157,113986,5.5
158,114095,6.5
159,114194,6.5
160,114241,5.1
161,114323,7.2
162,114345,5.3
163,114436,4.9
164,114478,7.4
165,114496,5.8
166,114508,5.8
167,114558,7.2
168,58450,7.8
169,114663,6.1
170,114702,6.5
171,114682,6.6
172,114781,5.5
173,114798,6.7
174,114805,6.5
175,114887,6.7
176,114898,6.2
177,114928,5.3
178,114938,5.9
179,109340,7.2
180,112602,5.6
181,111579,7.9
182,110882,8
183,112471,8.1
184,112508,6.4
185,112438,4.3
186,112571,6.5
187,112757,7.7
188,112643,6
189,112679,6.6
190,109445,7.7
191,112883,6.7
192,109635,6.1
193,109676,5.6
194,112854,4.6
195,109579,7.3
196,109642,7.4
197,109686,7.3
198,111797,7.8
199,109759,7.1
200,109758,4.3
201,109707,7.8
202,113117,6.6
203,113097,6.5
204,113028,6.4
205,113198,6.9
206,113303,5.3
207,113089,6.7
208,109771,6.8
209,113199,3.8
210,110057,8.3
211,110005,7.3
212,110066,6
213,110116,7.4
214,110006,6.7
215,113360,6
216,110099,6.2
217,110148,7.5
218,113463,5.7
219,110189,4.7
220,110216,4.7
221,113501,6.4
222,113538,4.7
223,113552,5.9
224,76759,8.6
225,110367,7.3
226,113670,7.7
227,110296,7.4
228,103994,7.1
229,110322,7.5
230,110443,6.3
231,107566,6.5
232,110391,6
233,113691,6.5
234,110428,7.2
235,109836,6.4
236,113755,5.2
237,110538,5.4
238,110516,5.6
239,110527,6.6
240,113808,5.4
241,113896,7.3
242,113870,7.3
243,110684,7.4
244,110638,6.5
245,113967,6.7
246,117169,4.2
247,106402,3.3
248,110671,5.5
249,110632,7.3
250,110737,6.5
251,110729,7.9
252,114151,4.5
253,114069,6.6
254,110413,8.5
255,114113,6
256,114210,5.4
257,110912,8.9
258,105652,7.2
259,110889,7.1
260,110932,7.5
261,114129,6.6
262,110963,7.4
263,114214,6.5
264,114296,6.4
265,110907,5.2
266,111495,8.1
267,108394,7.9
268,111507,7.6
269,114268,5.5
270,110965,5.7
271,114571,5.3
272,111333,6.5
273,111112,7.5
274,111255,5.6
275,111282,7.1
276,111070,6.5
277,111161,9.3
278,111149,7.3
279,108260,6.6
280,106966,7.4
281,114594,7.1
282,111309,7.3
283,113936,5.7
284,110081,8.3
285,114614,5.4
286,114608,6.7
287,111280,6.6
288,114609,6.4
289,111454,6.3
290,114852,5.6
291,114694,7.1
292,111590,7.4
293,114788,6.1
294,114888,4.9
295,108550,7.7
296,114857,5.6
297,114924,6.7
298,111667,6.8
299,109655,7
300,110598,7.2
301,112435,5.8
302,109040,6.9
303,109045,7.5
304,106339,6.7
305,104779,7.2
306,109348,7.4
307,109444,6.9
308,109446,6.8
309,109484,6.6
310,109504,7
311,109506,7.6
312,109450,6.4
313,109813,4.9
314,109830,8.8
315,109831,7.1
316,113305,6.5
317,110091,6.8
318,110093,5.3
319,110167,6.4
320,110213,6
321,107472,8.5
322,110357,8.5
323,107426,6.1
324,111686,6.5
325,110475,6.9
326,110478,7
327,110588,6.4
328,110622,6.5
329,110771,6.7
330,110950,6.6
331,105226,7
332,110989,5.4
333,110997,6.4
334,111257,7.2
335,111256,5.8
336,111438,5.9
337,111503,7.2
338,111693,6.6
339,111742,6.2
340,111756,6.7
341,112443,5.4
342,110455,6.7
343,111048,5.8
344,110399,6
345,112570,7
346,109454,6.9
347,59170,6.7
348,110186,6.6
349,111301,4
350,110027,4.5
351,109785,6.4
352,113409,7.2
353,109021,6.6
354,109035,6.6
355,106220,6.8
356,106226,7.2
357,109068,6.1
358,109067,5.5
359,106292,5.6
360,109198,5.2
361,109219,7
362,106379,5.4
363,106400,5
364,109254,5.6
365,109279,6.6
366,109297,6.2
367,109303,6.2
368,109305,6.2
369,109306,6.4
370,106452,6
371,106471,4.7
372,106489,7.8
373,109361,5.3
374,106505,5.1
375,106519,7.9
376,109439,5.6
377,109443,5.7
378,106582,6.4
379,106598,5.4
380,109456,5.2
381,109480,5.2
382,109493,5.9
383,106673,6.8
384,106677,7.6
385,106697,6.7
386,106834,4.4
387,106873,5.8
388,106332,8.1
389,106881,7.1
390,106880,7.2
391,111732,6.7
392,106926,6.2
393,111712,6.7
394,106941,6.2
395,106918,6.8
396,106965,6
397,109842,7.6
398,106977,7.8
399,107004,6.5
400,109890,5.8
401,109891,4.8
402,109913,5.6
403,107076,6.2
404,107144,6.6
405,113674,5.3
406,112966,6.6
407,107151,6.9
408,110064,4.8
409,110074,7.2
410,110097,5.6
411,110123,5
412,107206,7.2
413,107207,8.1
414,110137,6.4
415,108551,7.3
416,110197,5.3
417,107286,6.6
418,107290,8.1
419,107302,6.7
420,110265,6.5
421,110305,5.9
422,107362,6.4
423,107413,5.6
424,110353,5.5
425,107468,6.8
426,107478,5.1
427,107497,6.4
428,107501,6.7
429,107507,7.3
430,107554,7.5
431,116253,6.4
432,74102,6.6
433,111689,7.2
434,107616,7.3
435,107613,5.9
436,107614,7
437,107653,7.8
438,110657,4.5
439,110678,6.1
440,110687,4.5
441,107756,7.2
442,107808,7.5
443,107818,7.7
444,107822,7.6
445,107840,6.1
446,107889,6.5
447,111003,5.9
448,110939,6.2
449,110955,6.9
450,107943,7.8
451,110971,6.2
452,107969,6.3
453,111001,5.9
454,107978,4.1
455,107977,6.7
456,107983,6.6
457,105275,6.8
458,108000,7
459,108002,7.5
460,105032,7
461,108052,8.9
462,111094,5.4
463,108065,7.4
464,108071,7.3
465,111127,6.8
466,111143,6.1
467,108101,7.3
468,108122,7.7
469,111194,6.3
470,111201,5.9
471,108149,6.8
472,108160,6.8
473,108162,5.1
474,83658,8.1
475,108186,5.9
476,108174,6.5
477,108238,5.9
478,108255,4.1
479,111323,6.2
480,111400,5.5
481,108328,7.4
482,111418,6.3
483,107688,8
484,108333,6.4
485,108358,7.8
486,108399,7.9
487,108515,7.4
488,110763,6.1
489,114906,7.4
490,107002,7.1
491,109403,5.1
492,107315,6.5
493,106408,6.4
494,110363,6.1
495,107225,6.9
496,111252,6.3
497,110366,6.3
498,109120,5.7
499,108059,6.7
500,110892,6
501,112651,7.8
502,109382,7.3
503,112572,6.1
504,99785,7.6
505,99653,7.1
506,103639,8
507,103064,8.5
508,99348,8
509,96895,7.5
510,102926,8.6
511,29583,7.6
512,101414,8
513,32910,7.4
514,100405,7.1
515,65214,7.9
516,110395,6
517,109934,7.4
518,117247,6.5
519,112625,5.3
520,116282,8.1
521,116552,6
522,82509,6.7
523,116514,5.1
524,117283,5
525,116684,6.8
526,70506,7.5
527,65421,7.1
528,113083,7
529,118001,5.4
530,116165,2.7
531,117891,5.7
532,113613,6.8
533,117381,7.7
534,115509,5.6
535,114671,7.6
536,112844,6.7
537,114658,2.4
538,116275,7
539,113122,4.9
540,117608,5.8
541,113448,6.7
542,116414,5.2
543,116095,5.5
544,113947,7.3
545,115956,6.6
546,117060,7.1
547,109028,7
548,117071,6.5
549,116136,6.5
550,116168,5.2
551,116683,6.7
552,116287,6.2
553,116768,6.9
554,114787,8.1
555,112536,4.8
556,48473,8.5
557,52572,8.5
558,117128,7.3
559,117705,6.5
560,62711,5.9
561,108181,7.6
562,114307,6.3
563,58898,7.1
564,113443,7.1
565,114048,5.1
566,117104,6.2
567,117688,4.1
568,117774,6
569,114736,5.3
570,116289,5.4
571,109593,4.8
572,112368,6.7
573,115742,5
574,117420,5.6
575,117784,6
576,117107,6.3
577,117979,6.3
578,95776,6.7
579,115851,5.3
580,116322,5.3
581,112817,7.6
582,113362,7.1
583,108500,7.1
584,117108,6.1
585,118114,0
586,113270,7.4
587,115963,6.4
588,116448,5.5
589,116827,5.7
590,112701,7.3
591,116508,5.8
592,117500,7.4
593,109592,7.1
594,117998,6.4
595,115624,3.4
596,113568,8
597,117894,5.8
598,117723,5.4
599,112691,8.1
600,117768,4.3
601,115571,6.2
602,57012,8.4
603,109688,7.1
604,110480,7.3
605,108211,7.5
606,117331,5
607,117765,4.5
608,113280,6.8
609,116669,5.8
610,116594,6.6
611,70820,7.1
612,63715,6.5
613,117951,8.1
614,118523,4.8
615,116629,7
616,117737,6.6
617,116277,5.9
618,116583,7
619,115798,6.1
620,116778,6.9
621,116213,6.1
622,117218,5.6
623,111546,7.3
624,113610,8.6
625,111237,5.4
626,116040,5.9
627,116365,7.1
628,116905,7.4
629,116493,5.9
630,117333,6.4
631,118113,6.7
632,117628,6
633,117913,7.5
634,115530,5.8
635,115493,5.8
636,116320,5.4
637,116756,3
638,116823,5.6
639,118073,5.8
640,61495,7.4
641,110246,6.9
642,115472,5.3
643,116707,5.5
644,116313,6.4
645,117438,6.7
646,116531,5.5
647,116353,6.2
648,115857,5.7
649,117008,6.9
650,116191,6.7
651,115986,4.7
652,116571,5.8
653,53459,7.7
654,117826,5.4
655,117718,7
656,116225,5.7
657,115632,6.9
658,117918,6.4
659,68646,9.2
660,104558,6.9
661,115736,7.3
662,115836,5
663,116745,6.3
664,119214,4.8
665,110693,5.9
666,106544,6.1
667,120004,5.8
668,116654,4.6
669,116311,5.3
670,117965,5.7
671,115725,5.4
672,115783,5.8
673,113596,5.7
674,109001,6.3
675,113253,4.8
676,117991,7.2
677,117093,7.1
678,111019,7.4
679,35896,6.9
680,32904,7.9
681,45152,8.3
682,43278,7.2
683,50419,7
684,54698,7.6
685,52357,8.3
686,47396,8.5
687,25316,8.1
688,36855,7.8
689,25164,7.5
690,53125,8.3
691,53604,8.3
692,53291,8.2
693,56923,7.9
694,34583,8.5
695,33870,8
696,58385,7.8
697,47437,7.6
698,46250,8
699,31580,7.2
700,37059,7.6
701,32138,8
702,31381,8.1
703,84370,7.4
704,43014,8.4
705,33467,8.3
706,62622,8.3
707,42192,8.2
708,32143,7.8
709,32976,8.1
710,32484,7.5
711,38787,8
712,38109,7.5
713,50105,7.5
714,48728,7.4
715,42451,7.2
716,45537,7.5
717,31725,7.9
718,50658,7.2
719,51658,6.7
720,29843,7.9
721,32762,7.6
722,37008,8
723,39420,7.9
724,29162,7.7
725,27125,7.8
726,35446,8.2
727,28010,8
728,49261,7.6
729,48028,7.9
730,25878,8
731,32599,7.9
732,48960,6.8
733,38650,8.6
734,31679,8.1
735,29947,7.9
736,34012,7.1
737,25586,7.1
738,27893,7.3
739,41509,6.8
740,26029,7.6
741,63350,7.9
742,43265,7.8
743,46414,6.5
744,51459,8
745,33891,7.6
746,22879,6.5
747,114007,6.9
748,118927,4.5
749,48491,7.1
750,117357,5.3
751,116329,6.8
752,118742,6
753,116442,6.7
754,117011,5.5
755,117039,7.2
756,116635,6.2
757,115678,7.3
758,116830,6.4
759,117603,6.9
760,115438,6.5
761,116259,6.2
762,116421,5.4
763,116000,5.5
764,115862,6
765,72653,6.4
766,47977,7
767,72951,6.4
768,64603,6.5
769,71607,5.7
770,50798,7.3
771,55277,7.2
772,54195,7.4
773,107131,7
774,53271,6.5
775,54357,7.2
776,59793,6.8
777,46672,7.2
778,106611,7
779,109127,6.2
780,42332,7.3
781,63819,8
782,38166,6.4
783,57546,7.2
784,102798,6.9
785,58331,7.8
786,33563,7.2
787,76538,6.4
788,66817,7.1
