기간,자치구,범죄_발생_합계
2019,강남구,"7,304"
2019,강동구,"4,014"
2019,강북구,"3,838"
2019,강서구,"4,924"
2019,관악구,"5,328"
2019,광진구,"4,011"
2019,구로구,"4,707"
2019,금천구,"3,105"
2019,노원구,"4,153"
2019,도봉구,"2,110"
2019,동대문구,"3,692"
2019,동작구,"3,400"
2019,마포구,"4,842"
2019,서대문구,"2,943"
2019,서초구,"5,542"
2019,성동구,"2,512"
2019,성북구,"2,877"
2019,송파구,"5,698"
2019,양천구,"3,214"
2019,영등포구,"5,820"
2019,용산구,"3,313"
2019,은평구,"3,880"
2019,종로구,"3,846"
2019,중구,"4,327"
2019,중랑구,"4,268"
