기간	자치구	동	인구	면적	인구밀도
2020	강동구	소계	463,998	24.59	18,869
2020	강동구	강일동	35,778	2.8	12,778
2020	강동구	상일동	33,345	2.65	12,583
2020	강동구	명일1동	26,377	0.61	43,241
2020	강동구	명일2동	17,555	0.97	18,098
2020	강동구	고덕1동	26,103	1.73	15,088
2020	강동구	고덕2동	22,568	2.01	11,228
2020	강동구	암사2동	15,507	1.18	13,142
2020	강동구	암사3동	18,420	2.51	7,339
2020	강동구	천호1동	27,745	0.71	39,077
2020	강동구	천호3동	27,085	0.79	34,285
2020	강동구	성내1동	20,353	0.58	35,091
2020	강동구	성내2동	24,948	0.67	37,236
2020	강동구	성내3동	23,692	0.71	33,369
2020	강동구	둔촌1동	262	0.92	285
2020	강동구	둔촌2동	26,413	0.98	26,952
2020	강동구	암사1동	35,728	1.02	35,027
2020	강동구	천호2동	35,251	1.57	22,453
2020	강동구	길동	46,868	2.17	21,598
