,User_ID,User_rating_movie,User_rating,UserID
172,jameshastie-81070,8110232,8,10172
173,disapointed,8110232,10,10173
174,pricelad,8110232,10,10174
175,paleksa,7097896,10,10175
176,cristiano-cr10,7097896,10,10176
177,rthrothingysucks,7097896,10,10177
178,tresm87,7097896,9,10178
179,NathanLy,7097896,10,10179
180,kalidasanmrms,7097896,10,10180
181,Rainbowbeany,7097896,6,10181
182,kuner-59029,7097896,7,10027
183,mrcrazy-80641,7097896,10,10183
184,magadalwarmayur,7097896,5,10004
185,nscoby93,7097896,4,10185
186,bisher-06990,7097896,10,10186
187,Movies_Frever,7097896,6,10187
188,mungosmungo8694,7097896,10,10188
189,garethvk,7097896,6,10189
190,danielhtet-87092,7097896,10,10190
191,lotekguy-1,7097896,3,10191
192,Chef-HudScreenplays,7097896,7,10192
193,dandanix,7097896,9,10193
194,jrich_legend,7097896,8,10194
195,khuraym,7097896,7,10195
196,Batman9003,7097896,7,10196
197,marusanikishankittu,7097896,10,10197
198,scootergresham,7097896,7,10198
199,tgelina,7097896,8,10199
200,qwmarcus,7097896,7,10132
201,UniqueParticle,7097896,9,10201
202,danielhuck-33934,7097896,6,10202
203,treonuget,7097896,6,10203
204,garrett_metzler-238-43847,7097896,3,10204
205,tmoser1434,7097896,5,10205
206,afatedcircle,7097896,6,10144
207,jaredgrogan,7097896,4,10207
208,rgkarim,7097896,7,10139
209,i_am_tomk,7097896,2,10209
210,user14private,7097896,10,10210
211,colewaters,7097896,10,10211
212,powerfullmutant,7097896,8,10212
213,gabethedinosaur,7097896,10,10213
214,rajdeep_nayak,7097896,9,10214
215,MiroslavKyuranov,7097896,6,10215
216,dmoorejr,7097896,8,10216
217,zwjonas,7097896,6,10217
218,finn9849,7097896,1,10218
219,jonathankitavi-10592,7097896,8,10219
220,james-hockey98,7097896,10,10220
221,benjaminskylerhill,7097896,7,10146
222,PerryAtTheMovies,7097896,6,10138
223,Johnny_West,7097896,_W,10223
224,csoto-86444,7097896,3,10224
225,Bek204,9421570,ek,10225
226,lorickignacio,9421570,10,10226
227,spiritamokk,9421570,10,10227
228,zorkfrobozz,9421570,7,10228
229,andrewrye-06535,9421570,6,10229
230,zeljka-56697,9421570,9,10230
231,zameerpro,9421570,6,10039
232,MK_movie_reviews,9421570,8,10232
233,Geshvad,9421570,1,10233
234,gab-67599,9421570,8,10234
235,brian-2266,9421570,10,10235
236,ramspace1,9421570,pa,10236
237,hskizilcik,9421570,il,10237
238,njn_6-52-591778,9421570,9,10238
239,babarasghar,9421570,9,10239
240,doommacari,9421570,9,10240
241,rajbamra,9421570,7,10241
242,nikihossain-68933,9421570,5,10242
243,chevolek,9421570,4,10243
244,joaosantos20,9421570,3,10244
245,mickeygreyeyes,9421570,2,10245
246,amufan,9421570,2,10246
247,derekjmaurice,9421570,4,10247
248,godsnames,9421570,8,10248
249,osamasherkawi,9421570,1,10249
250,woodstockk-30880,9376612,10,10250
251,tonystarkm-21295,9376612,8,10251
252,leeballan,9376612,10,10252
253,okkobevers,9376612,10,10253
254,nameissridhar,9376612,10,10254
255,VINDETTAUS,9376612,9,10255
256,gavinp9,9376612,7,10256
257,truthtellers-16825,9376612,8,10257
258,akizenios,9376612,9,10258
259,ceamos,9376612,10,10259
260,kianrangassamy,9376612,10,10260
261,aanimoh,9376612,10,10261
262,bunnysth,9376612,ny,10262
263,lakelazy,9376612,10,10263
264,MiroslavKyuranov,9376612,8,10215
265,kakuskari,9376612,10,10265
266,cricketbat,9376612,7,10266
267,jasonjia123,9376612,10,10267
268,gunstrife,9376612,10,10268
269,royasupernatural,9376612,10,10269
270,noorgriffioen,9376612,9,10270
271,fissorevincent,9376612,nc,10271
272,stanoflavio,9376612,10,10272
273,nvmensah,9376612,8,10273
274,valmont1702,9376612,9,10274
275,anktkml,5164438,8,10275
276,alminasaban,5164438,10,10276
277,susanpryan,5164438,10,10277
278,teresa-tubera,5164438,10,10278
279,Filmological,5164438,10,10279
280,Cinemajunkie70,5164438,10,10280
281,therivs-36866,5164438,10,10281
282,smshim,5164438,10,10282
283,jelly_ace_lychee,5164438,9,10283
284,rotini-52586,5164438,10,10284
285,pamelalapier,5164438,10,10285
286,lfurmanek,5164438,9,10286
287,TheDome81,5164438,9,10287
288,galby68,5164438,8,10288
289,daggelopoulou,5164438,9,10289
290,smaimes91,5164438,4,10290
291,martha-44985,5164438,2,10291
292,shirlone,5164438,8,10292
293,missyshell1970,5164438,8,10293
294,shahd-wannan,5164438,9,10294
295,nnv-40085,5164438,3,10295
