Date,SPY
2019-08-01,284.82708740234375
2019-08-02,282.6825256347656
2019-08-05,274.1813049316406
2019-08-06,278.02618408203125
2019-08-07,278.1903991699219
2019-08-08,283.6485290527344
2019-08-09,281.7164306640625
2019-08-12,278.2870788574219
2019-08-13,282.6148376464844
2019-08-14,274.25860595703125
2019-08-15,274.9831237792969
2019-08-16,279.04052734375
2019-08-19,282.40234375
2019-08-20,280.2383728027344
2019-08-21,282.5182189941406
2019-08-22,282.43133544921875
2019-08-23,275.1763610839844
2019-08-26,278.21942138671875
2019-08-27,277.12774658203125
2019-08-28,279.07916259765625
2019-08-29,282.64385986328125
2019-08-30,282.5182189941406
2019-09-03,280.8663024902344
2019-09-04,284.0543212890625
2019-09-05,287.7059020996094
2019-09-06,287.9280700683594
2019-09-09,288.072998046875
2019-09-10,288.0053405761719
2019-09-11,290.0533752441406
2019-09-12,291.05804443359375
2019-09-13,290.8648681640625
2019-09-16,289.96636962890625
2019-09-17,290.70062255859375
2019-09-18,290.87451171875
2019-09-19,290.85516357421875
2019-09-20,289.4809265136719
2019-09-23,289.4129943847656
2019-09-24,287.1420593261719
2019-09-25,288.84039306640625
2019-09-26,288.23870849609375
2019-09-27,286.6858825683594
2019-09-30,288.01544189453125
2019-10-01,284.5896301269531
2019-10-02,279.56243896484375
2019-10-03,281.8528137207031
2019-10-04,285.6669006347656
2019-10-07,284.434326171875
2019-10-08,280.0185852050781
2019-10-09,282.677734375
2019-10-10,284.5896301269531
2019-10-11,287.5399475097656
2019-10-14,287.2196960449219
2019-10-15,290.0632019042969
2019-10-16,289.597412109375
2019-10-17,290.45147705078125
2019-10-18,289.1800842285156
2019-10-21,291.14044189453125
2019-10-22,290.18939208984375
2019-10-23,291.03375244140625
2019-10-24,291.5093078613281
2019-10-25,292.7030029296875
2019-10-28,294.35284423828125
2019-10-29,294.2655029296875
2019-10-30,295.1680908203125
2019-10-31,294.3819885253906
2019-11-01,297.109130859375
2019-11-04,298.3027648925781
2019-11-05,297.97283935546875
2019-11-06,298.0407409667969
2019-11-07,299.0888977050781
2019-11-08,299.8265380859375
2019-11-11,299.25384521484375
2019-11-12,299.8846740722656
2019-11-13,299.9817810058594
2019-11-14,300.4184265136719
2019-11-15,302.5924072265625
2019-11-18,302.81561279296875
2019-11-19,302.7282409667969
2019-11-20,301.6025085449219
2019-11-21,301.1172180175781
2019-11-22,301.7868957519531
2019-11-25,304.12579345703125
2019-11-26,304.81488037109375
2019-11-27,306.173583984375
2019-11-29,305.0380554199219
2019-12-02,302.44683837890625
2019-12-03,300.4184265136719
2019-12-04,302.27215576171875
2019-12-05,302.81561279296875
2019-12-06,305.5815124511719
2019-12-09,304.6207580566406
2019-12-10,304.2810974121094
2019-12-11,305.14483642578125
2019-12-12,307.7748718261719
2019-12-13,307.9592590332031
2019-12-16,310.074951171875
2019-12-17,310.1429443359375
2019-12-18,310.1623229980469
2019-12-19,311.4336853027344
2019-12-20,312.7990417480469
2019-12-23,313.2769470214844
2019-12-24,313.2866516113281
2019-12-26,314.9543762207031
2019-12-27,314.8763732910156
2019-12-30,313.1404113769531
2019-12-31,313.90106201171875
2020-01-02,316.836669921875
2020-01-03,314.4375
2020-01-06,315.6371154785156
2020-01-07,314.74957275390625
2020-01-08,316.42706298828125
2020-01-09,318.5726318359375
2020-01-10,317.6558837890625
2020-01-13,319.84051513671875
2020-01-14,319.3528747558594
2020-01-15,320.0745849609375
2020-01-16,322.737060546875
2020-01-17,323.74163818359375
2020-01-21,323.1076965332031
2020-01-22,323.14666748046875
2020-01-23,323.51727294921875
2020-01-24,320.64019775390625
2020-01-27,315.5005798339844
2020-01-28,318.8067321777344
2020-01-29,318.5434265136719
2020-01-30,319.57720947265625
2020-01-31,313.77435302734375
2020-02-03,316.105224609375
2020-02-04,320.9230651855469
2020-02-05,324.6291198730469
2020-02-06,325.721435546875
2020-02-07,323.98541259765625
2020-02-10,326.4040832519531
2020-02-11,326.9697570800781
2020-02-12,329.0763244628906
2020-02-13,328.7252197265625
2020-02-14,329.2519226074219
2020-02-18,328.4034118652344
2020-02-19,329.97357177734375
2020-02-20,328.6180114746094
2020-02-21,325.2337951660156
2020-02-24,314.4472961425781
2020-02-25,304.9188232421875
2020-02-26,303.79730224609375
2020-02-27,290.1532287597656
2020-02-28,288.9341735839844
2020-03-02,301.4468688964844
2020-03-03,292.81573486328125
2020-03-04,305.1236267089844
2020-03-05,294.9808044433594
2020-03-06,290.1044616699219
2020-03-09,267.44891357421875
2020-03-10,281.2879943847656
2020-03-11,267.57568359375
2020-03-12,241.9747772216797
2020-03-13,262.66033935546875
2020-03-16,233.91903686523438
2020-03-17,246.54879760742188
2020-03-18,234.06532287597656
2020-03-19,234.56271362304688
2020-03-20,224.4544219970703
2020-03-23,218.7155303955078
2020-03-24,238.5318603515625
2020-03-25,242.1027374267578
2020-03-26,256.23907470703125
2020-03-27,248.60679626464844
2020-03-30,256.68048095703125
2020-03-31,252.85458374023438
2020-04-01,241.47488403320312
2020-04-02,247.0469970703125
2020-04-03,243.4761505126953
2020-04-06,259.8294982910156
2020-04-07,260.09442138671875
2020-04-08,268.82537841796875
2020-04-09,272.91619873046875
2020-04-13,270.4244079589844
2020-04-14,278.3999938964844
2020-04-15,272.4845275878906
2020-04-16,273.7991027832031
2020-04-17,281.19586181640625
2020-04-20,276.2417907714844
2020-04-21,267.8541564941406
2020-04-22,273.7991027832031
2020-04-23,273.7794189453125
2020-04-24,277.5955810546875
2020-04-27,281.5980529785156
2020-04-28,280.3031311035156
2020-04-29,287.6410217285156
2020-04-30,284.96295166015625
2020-05-01,277.41900634765625
2020-05-04,278.18414306640625
2020-05-05,280.7544250488281
2020-05-06,278.85125732421875
2020-05-07,282.21612548828125
2020-05-08,286.8857116699219
2020-05-11,286.944580078125
2020-05-12,281.2253112792969
2020-05-13,276.2515869140625
2020-05-14,279.5575866699219
2020-05-15,280.84271240234375
2020-05-18,289.3970642089844
2020-05-19,286.42462158203125
2020-05-20,291.2904052734375
2020-05-21,289.27935791015625
2020-05-22,289.8287353515625
2020-05-26,293.3995666503906
2020-05-27,297.76507568359375
2020-05-28,297.2156982421875
2020-05-29,298.54010009765625
2020-06-01,299.7467041015625
2020-06-02,302.2286376953125
2020-06-03,306.2507629394531
2020-06-04,305.4463806152344
2020-06-05,313.2747497558594
2020-06-08,317.0614929199219
2020-06-09,314.697265625
2020-06-10,312.9412841796875
2020-06-11,294.9005126953125
2020-06-12,298.4321594238281
2020-06-15,301.2181701660156
2020-06-16,307.0159606933594
2020-06-17,305.7406921386719
2020-06-18,305.8583679199219
2020-06-19,304.11041259765625
2020-06-22,306.0613708496094
2020-06-23,307.4703369140625
2020-06-24,299.6271667480469
2020-06-25,302.83935546875
2020-06-26,295.6464538574219
2020-06-29,299.9917297363281
2020-06-30,303.83453369140625
2020-07-01,305.96282958984375
2020-07-02,307.647705078125
2020-07-06,312.3970031738281
2020-07-07,309.1749572753906
2020-07-08,311.5397644042969
2020-07-09,309.76617431640625
2020-07-10,312.9290771484375
2020-07-13,310.2193908691406
2020-07-14,314.23956298828125
2020-07-15,317.12652587890625
2020-07-16,316.08209228515625
2020-07-17,316.9984436035156
2020-07-20,319.560302734375
2020-07-21,320.2402038574219
2020-07-22,322.06298828125
2020-07-23,318.2202453613281
2020-07-24,316.1708068847656
2020-07-27,318.4764404296875
2020-07-28,316.45654296875
2020-07-29,320.3485412597656
2020-07-30,319.2055969238281
2020-07-31,321.72796630859375
2020-08-03,323.9647216796875
2020-08-04,325.216064453125
2020-08-05,327.2359313964844
2020-08-06,329.4233703613281
2020-08-07,329.659912109375
2020-08-10,330.64520263671875
2020-08-11,327.91583251953125
2020-08-12,332.48773193359375
2020-08-13,331.8866882324219
2020-08-14,331.89654541015625
2020-08-17,332.95086669921875
2020-08-18,333.670166015625
2020-08-19,332.28082275390625
2020-08-20,333.3154296875
2020-08-21,334.4978332519531
2020-08-24,337.8873596191406
2020-08-25,339.0697021484375
2020-08-26,342.4690856933594
2020-08-27,343.2179260253906
2020-08-28,345.4349060058594
2020-08-31,344.18353271484375
2020-09-01,347.4252624511719
2020-09-02,352.450439453125
2020-09-03,340.32110595703125
2020-09-04,337.5424499511719
2020-09-08,328.3197937011719
2020-09-09,334.80328369140625
2020-09-10,328.9898681640625
2020-09-11,329.1573486328125
2020-09-14,333.4927978515625
2020-09-15,335.1777038574219
2020-09-16,333.84747314453125
2020-09-17,330.9112243652344
2020-09-18,327.1015319824219
2020-09-21,323.4610290527344
2020-09-22,326.75531005859375
2020-09-23,319.17755126953125
2020-09-24,320.0282897949219
2020-09-25,325.2021484375
2020-09-28,330.60357666015625
2020-09-29,328.8031005859375
2020-09-30,331.2960510253906
2020-10-01,333.4229736328125
2020-10-02,330.25732421875
2020-10-05,336.11376953125
2020-10-06,331.33563232421875
2020-10-07,337.10308837890625
2020-10-08,340.09063720703125
2020-10-09,343.127685546875
2020-10-12,348.6478271484375
2020-10-13,346.37249755859375
2020-10-14,344.19610595703125
2020-10-15,343.77069091796875
2020-10-16,343.56298828125
2020-10-19,338.3396301269531
2020-10-20,339.6949462890625
2020-10-21,339.05194091796875
2020-10-22,340.9117126464844
2020-10-23,342.0691833496094
2020-10-26,335.747802734375
2020-10-27,334.59033203125
2020-10-28,323.15435791015625
2020-10-29,326.4387512207031
2020-10-30,323.0356750488281
2020-11-02,326.6564025878906
2020-11-03,332.4237976074219
2020-11-04,339.8532409667969
2020-11-05,346.4813232421875
2020-11-06,346.40216064453125
2020-11-09,350.75494384765625
2020-11-10,350.2405700683594
2020-11-11,352.84234619140625
2020-11-12,349.41943359375
2020-11-13,354.2569885253906
2020-11-16,358.6789855957031
2020-11-17,356.7499084472656
2020-11-18,352.45648193359375
2020-11-19,353.9403991699219
2020-11-20,351.5166931152344
2020-11-23,353.6238098144531
2020-11-24,359.322021484375
2020-11-25,358.76806640625
2020-11-27,359.7672424316406
2020-11-30,358.17449951171875
2020-12-01,362.0919494628906
