,Date,Tesla
79,,https://finance.yahoo.com/news/tesla-tsla-dips-more-broader-214509649.html
80,,https://finance.yahoo.com/news/why-tesla-stock-fell-lows-152448733.html
81,,https://finance.yahoo.com/news/tsla-could-catch-break-according-180307895.html
82,2021 6월,https://finance.yahoo.com/news/over-40-investors-believe-tesla-061233808.html
83,,https://finance.yahoo.com/news/tesla-tsla-stock-sinks-market-214509963.html
84,,https://finance.yahoo.com/news/tesla-investors-bearish-due-three-092258018.html
85,2021 7월,https://finance.yahoo.com/news/bull-day-tesla-tsla-120012235.html
86,,https://finance.yahoo.com/news/tesla-tsla-stock-sinks-market-214509509.html
87,,https://finance.yahoo.com/news/tesla-tsla-q2-earnings-revenues-213509929.html
88,,https://finance.yahoo.com/news/buy-tesla-tsla-ahead-earnings-125212783.html
89,,https://finance.yahoo.com/news/tesla-reports-q2-earnings-results-2021-155131596.html
90,,https://finance.yahoo.com/news/tesla-tsla-q2-earnings-4-163714747.html
91,,https://finance.yahoo.com/news/why-tesla-stock-losing-ground-152750549.html
92,,https://finance.yahoo.com/news/tesla-releases-second-quarter-2021-200700943.html
93,,https://finance.yahoo.com/news/tesla-registrations-california-surge-85-000459243.html
94,2021 8월,https://finance.yahoo.com/news/tesla-tsla-great-investment-pick-170538310.html
95,,https://finance.yahoo.com/news/heres-why-tesla-tsla-strong-153903744.html
96,,https://finance.yahoo.com/news/invested-1000-tesla-decade-ago-123012234.html
97,,https://finance.yahoo.com/news/why-tesla-will-beat-competition-on-auto-pilot-despite-probe-analyst-193603244.html
98,2021 9월,https://finance.yahoo.com/news/tesla-stock-is-worth-3000-ark-invests-cathie-wood-201139618.html
99,,https://finance.yahoo.com/news/cathie-wood-sells-139-million-120543510.html
100,,https://finance.yahoo.com/news/teslas-musk-says-2021-super-174126471.html
101,,https://finance.yahoo.com/news/tesla-setting-big-move-133216887.html
