,Date,Amazon
76,,https://finance.yahoo.com/news/amazon-talks-buy-film-studio-235117787.html
77,,https://finance.yahoo.com/news/amazon-mgm-deal-antitrust-concerns-115921763.html
78,2021 6월,https://finance.yahoo.com/news/amazon-algorithms-fire-flex-delivery-drivers-055959081.html
79,2021 7월,https://finance.yahoo.com/news/amazon-q2-earnings-2021-175225294.html
80,,https://finance.yahoo.com/news/amazon-chair-jeff-bezos-donating-183710449.html
81,2021 8월,https://finance.yahoo.com/news/who-is-andy-jassy-amazon-ceo-190316533.html
82,,https://finance.yahoo.com/news/amazon-needs-invest-billions-warehouse-203805695.html
83,,https://finance.yahoo.com/news/amazon-increases-spend-with-us-suppliers-by-20-percent-140003430.html
84,,https://finance.yahoo.com/news/amazon-wins-top-india-court-051828960.html
85,,https://finance.yahoo.com/news/amazon-puts-off-office-reopening-222605422.html
86,2021 9월,https://finance.yahoo.com/news/amazon-kindle-update-easier-navigation-221531631.html
87,,https://finance.yahoo.com/news/amazon-luna-cloud-service-getting-new-features-130022472.html
88,,https://finance.yahoo.com/news/amazon-launch-own-branded-line-144817908.html
89,,https://finance.yahoo.com/news/exclusive-amazon-ceo-unveils-55-114950348.html
90,,https://finance.yahoo.com/news/amazon-introduces-company-made-smart-204950891.html
91,,https://finance.yahoo.com/news/amazon-to-pay-college-tuition-warehouse-worker-163326286.html
