,prd_name,price,sale_price
79,MISSHA Super Aqua Ultra Hyalron Skin Essence 200ml (Renewal),USD 23.16,USD 16.19
80,ONE THING Brassica Oleracea Italica Extract 300ml,USD 30.58,USD 15.29
81,ONE THING Citrus Unshiu Fruit Extract 300ml,USD 30.58,USD 15.29
82,ONE THING Calendula Officinalis Flower Extract 300ml,USD 30.58,USD 15.29
83,ONE THING Houttuynia Cordata Extract 300ml,USD 30.58,USD 15.29
84,ONE THING Camellia Sinensis Leaf Extract 300ml,USD 30.58,USD 15.29
85,ONE THING Artemisia Capillaris Extract 300ml,USD 30.58,USD 15.29
86,ONE THING COIX LACRYMA-JOBIMA-YUEN SEED EXTRACT 300ml,USD 30.58,USD 15.29
87,ONE THING Propolis + Honey Extract 300ml,USD 30.58,USD 15.29
88,ONE THING Centella Asiatica Extract 300ml,USD 30.58,USD 15.29
89,ONE THING Galactomyces Ferment Filtrate 150ml,USD 33.00,USD 19.80
90,ONE THING Artemisia Capillaris Extract 150ml,USD 20.54,USD 12.32
91,ONE THING Centella Asiatica Extract 150ml,USD 20.54,USD 12.32
92,ONE THING Houttuynia Cordata Extract 150ml,USD 20.54,USD 12.32
93,ONE THING Citrus Unshiu Fruit Extract 150ml,USD 20.54,USD 12.32
94,ONE THING Brassica Oleracea Italica Extract 150ml,USD 18.96,USD 12.32
95,ONE THING Hyaluronic Acid Complex 150ml,USD 23.52,USD 15.29
