,User_rating_movie,User_rating,UserID
0,2382320,10,10000
1,2382320,8,10001
2,2382320,9,10002
3,2382320,3,10003
4,2382320,8,10004
5,2382320,8,10005
6,2382320,5,10006
7,2382320,8,10007
8,2382320,4,10008
9,2382320,10,10009
10,2382320,10,10010
11,2382320,10,10011
12,2382320,10,10012
13,2382320,1,10013
14,2382320,9,10014
15,2382320,10,10015
16,2382320,8,10016
17,2382320,7,10017
18,2382320,10,10018
19,2382320,9,10019
20,2382320,9,10020
21,2382320,3,10021
22,2382320,10,10022
23,2382320,8,10023
24,2382320,8,10024
25,2382320,7,10025
26,2382320,7,10026
27,2382320,2,10027
28,2382320,9,10028
29,2382320,2,10029
30,2382320,6,10030
31,2382320,1,10031
32,2382320,9,10032
33,2382320,2,10033
34,2382320,1,10034
35,2382320,9,10035
36,2382320,8,10036
37,2382320,1,10037
38,2382320,9,10038
39,2382320,8,10039
40,2382320,10,10040
41,2382320,3,10041
42,2382320,1,10042
43,2382320,10,10043
44,2382320,10,10044
45,2382320,1,10045
46,2382320,5,10046
47,2382320,1,10047
48,2382320,10,10048
49,2382320,1,10049
50,1160419,9,10050
51,1160419,10,10051
52,1160419,8,10052
53,1160419,10,10053
54,1160419,0,10054
55,1160419,9,10055
56,1160419,10,10056
57,1160419,9,10057
58,1160419,7,10058
59,1160419,10,10059
60,1160419,6,10060
61,1160419,10,10061
62,1160419,10,10062
63,1160419,10,10063
64,1160419,4,10064
65,1160419,10,10065
66,1160419,6,10066
67,1160419,5,10067
68,1160419,10,10068
69,1160419,8,10069
70,1160419,7,10070
71,1160419,4,10071
72,1160419,0,10072
73,1160419,8,10073
74,1160419,10,10074
75,1160419,6,10075
76,1160419,10,10076
77,1160419,10,10077
78,1160419,4,10078
79,1160419,9,10079
80,1160419,10,10080
81,1160419,10,10081
82,1160419,7,10082
83,1160419,9,10083
84,1160419,10,10084
85,1160419,10,10085
86,1160419,9,10086
87,1160419,9,10087
88,1160419,10,10088
89,1160419,10,10089
90,1160419,9,10090
91,1160419,9,10091
92,1160419,10,10092
93,1160419,10,10093
94,1160419,10,10094
95,1160419,10,10095
96,1160419,10,10096
97,1160419,10,10097
98,1160419,10,10098
99,1160419,10,10099
100,6264654,10,10100
101,6264654,6,10101
102,6264654,8,10102
103,6264654,10,10103
104,6264654,10,10104
105,6264654,8,10105
106,6264654,7,10106
107,6264654,9,10107
108,6264654,8,10108
109,6264654,9,10109
110,6264654,10,10110
111,6264654,10,10111
112,6264654,6,10112
113,6264654,9,10113
114,6264654,7,10114
115,6264654,9,10115
116,6264654,10,10116
117,6264654,7,10117
118,6264654,4,10118
119,6264654,8,10119
120,6264654,10,10120
121,6264654,10,10121
122,6264654,10,10122
123,6264654,6,10123
124,6264654,8,10124
125,6264654,7,10125
126,6264654,10,10126
127,6264654,8,10127
128,6264654,9,10128
129,6264654,7,10129
130,6264654,10,10130
131,6264654,10,10131
132,6264654,8,10132
133,6264654,7,10133
134,6264654,10,10134
135,6264654,10,10135
136,6264654,10,10136
137,6264654,10,10137
138,6264654,7,10138
139,6264654,9,10139
140,6264654,10,10140
141,6264654,10,10141
142,6264654,5,10142
143,6264654,9,10143
144,6264654,10,10144
145,6264654,8,10145
146,6264654,7,10146
147,6264654,10,10147
148,6264654,7,10148
149,6264654,5,10149
150,8110232,4,10150
151,8110232,7,10151
152,8110232,10,10152
153,8110232,10,10153
154,8110232,7,10154
155,8110232,6,10112
156,8110232,8,10156
157,8110232,6,10157
158,8110232,3,10158
159,8110232,6,10159
160,8110232,7,10160
161,8110232,4,10161
162,8110232,6,10162
163,8110232,8,10163
164,8110232,10,10164
165,8110232,0,10165
166,8110232,6,10166
167,8110232,7,10167
168,8110232,10,10168
169,8110232,5,10169
170,8110232,10,10170
171,8110232,9,10171
172,8110232,8,10172
173,8110232,10,10173
174,8110232,10,10174
175,7097896,10,10175
176,7097896,10,10176
177,7097896,10,10177
178,7097896,9,10178
179,7097896,10,10179
180,7097896,10,10180
181,7097896,6,10181
182,7097896,7,10027
183,7097896,10,10183
184,7097896,5,10004
185,7097896,4,10185
186,7097896,10,10186
187,7097896,6,10187
188,7097896,10,10188
189,7097896,6,10189
190,7097896,10,10190
191,7097896,3,10191
192,7097896,7,10192
193,7097896,9,10193
194,7097896,8,10194
195,7097896,7,10195
196,7097896,7,10196
197,7097896,10,10197
198,7097896,7,10198
199,7097896,8,10199
200,7097896,7,10132
201,7097896,9,10201
202,7097896,6,10202
203,7097896,6,10203
204,7097896,3,10204
205,7097896,5,10205
206,7097896,6,10144
207,7097896,4,10207
208,7097896,7,10139
209,7097896,2,10209
210,7097896,10,10210
211,7097896,10,10211
212,7097896,8,10212
213,7097896,10,10213
214,7097896,9,10214
215,7097896,6,10215
216,7097896,8,10216
217,7097896,6,10217
218,7097896,1,10218
219,7097896,8,10219
220,7097896,10,10220
221,7097896,7,10146
222,7097896,6,10138
223,7097896,0,10223
224,7097896,3,10224
225,9421570,0,10225
226,9421570,10,10226
227,9421570,10,10227
228,9421570,7,10228
229,9421570,6,10229
230,9421570,9,10230
231,9421570,6,10039
232,9421570,8,10232
233,9421570,1,10233
234,9421570,8,10234
235,9421570,10,10235
236,9421570,0,10236
237,9421570,0,10237
238,9421570,9,10238
239,9421570,9,10239
240,9421570,9,10240
241,9421570,7,10241
242,9421570,5,10242
243,9421570,4,10243
244,9421570,3,10244
245,9421570,2,10245
246,9421570,2,10246
247,9421570,4,10247
248,9421570,8,10248
249,9421570,1,10249
250,9376612,10,10250
251,9376612,8,10251
252,9376612,10,10252
253,9376612,10,10253
254,9376612,10,10254
255,9376612,9,10255
256,9376612,7,10256
257,9376612,8,10257
258,9376612,9,10258
259,9376612,10,10259
260,9376612,10,10260
261,9376612,10,10261
262,9376612,0,10262
263,9376612,10,10263
264,9376612,8,10215
265,9376612,10,10265
266,9376612,7,10266
267,9376612,10,10267
268,9376612,10,10268
269,9376612,10,10269
270,9376612,9,10270
271,9376612,0,10271
272,9376612,10,10272
273,9376612,8,10273
274,9376612,9,10274
275,5164438,8,10275
276,5164438,10,10276
277,5164438,10,10277
278,5164438,10,10278
279,5164438,10,10279
280,5164438,10,10280
281,5164438,10,10281
282,5164438,10,10282
283,5164438,9,10283
284,5164438,10,10284
285,5164438,10,10285
286,5164438,9,10286
287,5164438,9,10287
288,5164438,8,10288
289,5164438,9,10289
290,5164438,4,10290
291,5164438,2,10291
