"기간","자치구","인구밀도"
2002,"강남구",13678
2002,"송파구",19176
2002,"강동구",19650
2003,"종로구",7588
2003,"중구",13932
2003,"용산구",11006
2003,"성동구",20416
2003,"광진구",22793
2003,"동대문구",27210
2003,"중랑구",23672
2003,"성북구",18584
2003,"강북구",15341
2003,"도봉구",18181
2003,"노원구",17896
2003,"은평구",16047
2003,"서대문구",20537
2003,"마포구",16070
2003,"양천구",28118
2003,"강서구",13037
2003,"구로구",20853
2003,"금천구",20561
2003,"영등포구",16724
2003,"동작구",25260
2003,"관악구",17821
2003,"서초구",8510
2003,"강남구",13556
2003,"송파구",18393
2003,"강동구",19500
2004,"종로구",7468
2004,"중구",13712
2004,"용산구",10933
2004,"성동구",20419
2004,"광진구",22560
2004,"동대문구",27005
2004,"중랑구",23567
2004,"성북구",18523
2004,"강북구",15348
2004,"도봉구",18444
2004,"노원구",17800
2004,"은평구",16164
2004,"서대문구",20336
2004,"마포구",16257
2004,"양천구",28600
2004,"강서구",13159
2004,"구로구",21116
2004,"금천구",20456
2004,"영등포구",16930
2004,"동작구",25324
2004,"관악구",18116
2004,"서초구",8647
2004,"강남구",13640
2004,"송파구",17961
2004,"강동구",19262
2005,"종로구",7272
2005,"중구",13495
2005,"용산구",10979
2005,"성동구",20341
2005,"광진구",22304
2005,"동대문구",27173
2005,"중랑구",23236
2005,"성북구",19024
2005,"강북구",15055
2005,"도봉구",18436
2005,"노원구",17640
2005,"은평구",15934
2005,"서대문구",20208
2005,"마포구",16466
2005,"양천구",28890
2005,"강서구",13464
2005,"구로구",21235
2005,"금천구",20279
2005,"영등포구",17151
2005,"동작구",25367
2005,"관악구",18168
2005,"서초구",8651
2005,"강남구",13853
2005,"송파구",18007
2005,"강동구",18987
2006,"종로구",7223
2006,"중구",13688
2006,"용산구",11114
2006,"성동구",20234
2006,"광진구",22376
2006,"동대문구",27136
2006,"중랑구",23211
2006,"성북구",19479
2006,"강북구",14897
2006,"도봉구",18341
2006,"노원구",17550
2006,"은평구",15750
2006,"서대문구",20249
2006,"마포구",16624
2006,"양천구",29051
2006,"강서구",13515
2006,"구로구",21717
2006,"금천구",20287
2006,"영등포구",17496
2006,"동작구",25385
2006,"관악구",18463
2006,"서초구",8802
2006,"강남구",14280
2006,"송파구",18080
2006,"강동구",18928
2007,"종로구",7271
2007,"중구",13799
2007,"용산구",11356
2007,"성동구",20274
2007,"광진구",22661
2007,"동대문구",27171
2007,"중랑구",23319
2007,"성북구",19428
2007,"강북구",14769
