Date,MO,next_month,nnext_month,yield
2019-07-31,39.44181201424168,34.95699667890917,38.281757487734524,-0.02941179594102522
2019-08-31,36.65147349698175,38.281757487734524,42.478306477794284,0.15897950136417768
2019-09-30,34.95699667890917,42.478306477794284,43.370452294034344,0.24068016175432247
2019-10-31,38.281757487734524,43.370452294034344,41.30229608365964,0.07890281936227453
2019-11-30,42.478306477794284,41.30229608365964,35.08044798858278,-0.1741561541084215
2019-12-31,43.370452294034344,35.08044798858278,34.47492556570106,-0.20510569426449993
2020-01-31,41.30229608365964,34.47492556570106,34.99200487338419,-0.1527830607163746
2020-02-29,35.08044798858278,34.99200487338419,34.81370166383828,-0.007603846017910533
2020-03-31,34.47492556570106,34.81370166383828,35.7431749243334,0.036787588017133284
2020-04-30,34.99200487338419,35.7431749243334,37.4734177869126,0.07091371078928475
2020-05-31,34.81370166383828,37.4734177869126,39.83201200484951,0.144147565503609
2020-06-30,35.7431749243334,39.83201200484951,35.891429418032295,0.004147770700636994
2020-07-31,37.4734177869126,35.891429418032295,33.51352933236556,-0.1056719319562576
2020-08-31,39.83201200484951,33.51352933236556,36.99678141097894,-0.07117969821673541
2020-09-30,35.891429418032295,36.99678141097894,38.8685958056994,0.08294922871395417
2020-10-31,33.51352933236556,38.8685958056994,38.94443696824711,0.16205119974149293
2020-11-30,36.99678141097894,38.94443696824711,41.33343358849985,0.117217012186741
2020-12-31,38.8685958056994,41.33343358849985,49.34288687414925,0.2694795335753801
2021-01-31,38.94443696824711,49.34288687414925,46.05400407037973,0.18255667960816394
2021-02-28,41.33343358849985,46.05400407037973,47.47179225851498,0.14850831728925123
2021-03-31,49.34288687414925,47.47179225851498,46.80904404302821,-0.051351734599227976
2021-04-30,46.05400407037973,46.80904404302821,47.162468033285975,0.02406878588042611
2021-05-31,47.47179225851498,47.162468033285975,49.3124639740207,0.038774009320778506
2021-06-30,46.80904404302821,49.3124639740207,0.0,-1.0
2021-07-31,47.162468033285975,0.0,0.0,-1.0
2021-08-31,49.3124639740207,0.0,0.0,-1.0
