Date,WMT,next_month,nnext_month,yield
2019-07-31,106.28457625781655,114.83473648481335,113.4607448618909,0.06751843829782957
2019-08-31,110.55794565853364,113.4607448618909,115.23145237593883,0.04227201120252052
2019-09-30,114.83473648481335,115.23145237593883,115.50315823024442,0.005820727820623099
2019-10-31,113.4607448618909,115.50315823024442,111.27529944278596,-0.01926168757101984
2019-11-30,115.23145237593883,111.27529944278596,104.65651361690273,-0.09177128762150555
2019-12-31,115.50315823024442,104.65651361690273,110.92894956013781,-0.039602455380383365
2020-01-31,111.27529944278596,110.92894956013781,118.67113025026183,0.06646426335863108
2020-02-29,104.65651361690273,118.67113025026183,121.65827794571287,0.16245299734563526
2020-03-31,110.92894956013781,121.65827794571287,117.46113600143066,0.058886219216847106
2020-04-30,118.67113025026183,117.46113600143066,126.89489896965377,0.0692988151545291
2020-05-31,121.65827794571287,126.89489896965377,136.71961290476116,0.12380033001756822
2020-06-30,117.46113600143066,136.71961290476116,137.7633492366232,0.17284196225503282
2020-07-31,126.89489896965377,137.7633492366232,136.62114721307606,0.07664806325862059
2020-08-31,136.71961290476116,136.62114721307606,150.44573032566407,0.100396110911055
2020-09-30,137.7633492366232,150.44573032566407,142.45955870352057,0.03408896119991332
2020-10-31,136.62114721307606,142.45955870352057,138.84247937743743,0.016259065376584444
2020-11-30,150.44573032566407,138.84247937743743,128.39643334555248,-0.14655980553507453
2020-12-31,142.45955870352057,128.39643334555248,134.805009634749,-0.053731382705612674
2021-01-31,138.84247937743743,134.805009634749,138.85422143854623,8.457109928788255e-05
2021-02-28,128.39643334555248,138.85422143854623,141.50786578437268,0.10211679637185474
2021-03-31,134.805009634749,141.50786578437268,140.5015787714725,0.04225784451303565
2021-04-30,138.85422143854623,140.5015787714725,142.02595414745005,0.022842177040383
2021-05-31,141.50786578437268,142.02595414745005,148.1,0.046584931368213095
2021-06-30,140.5015787714725,148.1,0.0,-1.0
2021-07-31,142.02595414745005,0.0,0.0,-1.0
2021-08-31,148.1,0.0,0.0,-1.0
