Date,SPY,nnext_month,yield
2019-08,286.2878975518068,293.3212116743625,0.024567277145492776
2019-09,281.49705347930364,303.9389115529914,0.07972324326775847
2019-10,286.97766784887926,312.7633336025591,0.08985251691172853
2019-11,293.3212116743625,312.63700776720106,0.06585202612036961
2019-12,303.9389115529914,287.88686140897954,-0.05281340931963293
2020-01,312.7633336025591,252.00391567092478,-0.19426643536433125
2020-02,312.63700776720106,284.00425770743055,-0.0915846472055903
2020-03,287.88686140897954,297.53571917352406,0.03351614490956952
2020-04,252.00391567092478,302.82018562960457,0.20164873162144584
2020-05,284.00425770743055,320.65393375203814,0.12904622043505617
2020-06,297.53571917352406,343.0345020180217,0.15291872508914667
2020-07,302.82018562960457,330.2055683241422,0.09043446901533217
2020-08,320.65393375203814,321.9723678836794,0.004111704217110276
2020-09,343.0345020180217,356.9955151465822,0.04069856835516507
2020-10,330.2055683241422,370.22790981566936,0.12120432037124144
2020-11,321.9723678836794,366.4551262048913,0.13815706799187946
2020-12,356.9955151465822,376.64461264974864,0.055040180252960695
2021-01,370.22790981566936,393.7461785160373,0.06352375949203097
2021-02,366.4551262048913,414.5794673497902,0.13132396766634874
2021-03,376.64461264974864,417.30160427895015,0.10794523607592253
2021-04,393.7461785160373,426.6795071640889,0.08364101150688431
2021-05,414.5794673497902,437.0958059303009,0.05431127287718075
2021-06,417.30160427895015,450.1037197005466,0.07860529431291018
