Date,NKE,next_month,nnext_month,yield
2019-07-31,84.3003504348318,92.27132969244309,87.97804060858473,0.04362603660344171
2019-08-31,83.01668823478961,87.97804060858473,92.0895771797397,0.10928994082840249
2019-09-30,92.27132969244309,92.0895771797397,99.7924383792858,0.0815107868490886
2019-10-31,87.97804060858473,99.7924383792858,94.85748510438478,0.07819501830470137
2019-11-30,92.0895771797397,94.85748510438478,88.28247250758554,-0.04134131992726485
2019-12-31,99.7924383792858,88.28247250758554,81.7240073313675,-0.18106012180246325
2020-01-31,94.85748510438478,81.7240073313675,86.10948705763379,-0.0922225382332703
2020-02-29,88.28247250758554,86.10948705763379,97.61149413249207,0.10567240993510857
2020-03-31,81.7240073313675,97.61149413249207,97.08670115328512,0.18798262987308345
2020-04-30,86.10948705763379,97.08670115328512,96.65102396300011,0.12242015677448864
2020-05-31,97.61149413249207,96.65102396300011,111.03245795363694,0.1374936828948448
2020-06-30,97.08670115328512,111.03245795363694,124.57784226918922,0.2831607294236908
2020-07-31,96.65102396300011,124.57784226918922,119.1596885429683,0.23288594012811428
2020-08-31,111.03245795363694,119.1596885429683,133.66763863039498,0.20386093484672435
2020-09-30,124.57784226918922,133.66763863039498,140.66715826370213,0.12915070370015672
2020-10-31,119.1596885429683,140.66715826370213,132.83187723508848,0.11473837217348948
2020-11-30,133.66763863039498,132.83187723508848,134.28856336540818,0.004645288428638487
2020-12-31,140.66715826370213,134.28856336540818,132.40545470862955,-0.05873228447243355
2021-01-31,132.83187723508848,132.40545470862955,132.13643918623262,-0.005235475575076476
2021-02-28,134.28856336540818,132.13643918623262,136.23643501831938,0.01450511945392486
2021-03-31,132.40545470862955,136.23643501831938,154.23689613058892,0.16488324797495296
2021-04-30,132.13643918623262,154.23689613058892,167.2355652199815,0.26562790892435284
2021-05-31,136.23643501831938,167.2355652199815,164.74,0.2092213068981717
2021-06-30,154.23689613058892,164.74,0.0,-1.0
2021-07-31,167.2355652199815,0.0,0.0,-1.0
2021-08-31,164.74,0.0,0.0,-1.0
