Date,PFE,next_month,nnext_month,yield
2019-07-31,33.678730162857384,31.44865429020287,33.58432688881392,-0.0028030532501364253
2019-08-31,31.11604954123885,33.58432688881392,34.04446198039323,0.09411260369904229
2019-09-30,31.44865429020287,34.04446198039323,34.627778307160085,0.10108934988507917
2019-10-31,33.58432688881392,34.627778307160085,33.250570800920585,-0.009937852528600183
2019-11-30,34.04446198039323,33.250570800920585,29.839797963661812,-0.12350508047837422
2019-12-31,34.627778307160085,29.839797963661812,29.143357436682273,-0.15838211801603752
2020-01-31,33.250570800920585,29.143357436682273,34.25058796786556,0.030075187969924765
2020-02-29,29.839797963661812,34.25058796786556,34.449382544695496,0.15447774099030845
2020-03-31,29.143357436682273,34.449382544695496,29.497114669063702,0.012138520180799795
2020-04-30,34.25058796786556,29.497114669063702,35.05145714064369,0.02338264013247061
2020-05-31,34.449382544695496,35.05145714064369,34.42293568983693,-0.0007677018542857701
2020-06-30,29.497114669063702,34.42293568983693,33.43005397769292,0.13333301757659874
2020-07-31,35.05145714064369,33.43005397769292,32.318755180614296,-0.077962577962578
2020-08-31,34.42293568983693,32.318755180614296,37.18549340407672,0.08025340253171408
2020-09-30,33.43005397769292,37.18549340407672,35.729522636493456,0.06878447340632222
2020-10-31,32.318755180614296,35.729522636493456,35.22520835961476,0.08993085169146112
2020-11-30,37.18549340407672,35.22520835961476,32.86050774271584,-0.11630841130339088
2020-12-31,35.729522636493456,32.86050774271584,35.549005539522085,-0.005052323223232618
2021-01-31,35.22520835961476,35.549005539522085,37.923518192175784,0.0766016713091923
2021-02-28,32.86050774271584,37.923518192175784,38.380192218619726,0.167973195031578
2021-03-31,35.549005539522085,38.380192218619726,38.806308476146356,0.09162852482618453
2021-04-30,37.923518192175784,38.806308476146356,42.81,0.12885096216712236
2021-05-31,38.380192218619726,42.81,46.07,0.20035876156059607
2021-06-30,38.806308476146356,46.07,0.0,-1.0
2021-07-31,42.81,0.0,0.0,-1.0
2021-08-31,46.07,0.0,0.0,-1.0
