Date,IYK,IXN,IBUY,PBS,PJP,SOXX,RTH,MJ,FTXG,XLC
2019-08-01,118.680419921875,29.956071853637695,49.98622512817383,33.74462127685547,56.69938278198242,200.90203857421875,107.04247283935547,24.625377655029297,20.37471580505371,49.622779846191406
2019-08-02,118.28504943847656,29.416929244995117,49.25831985473633,33.507049560546875,56.69938278198242,197.93899536132812,106.38275146484375,25.81928062438965,20.03432273864746,49.14166259765625
2019-08-05,115.12202453613281,28.29603385925293,47.742679595947266,32.31920623779297,55.441795349121094,189.3920440673828,103.60601806640625,25.062835693359375,19.79119110107422,47.55106735229492
2019-08-06,116.52031707763672,28.717191696166992,48.350929260253906,32.6359748840332,55.687416076660156,191.80747985839844,104.61036682128906,25.737253189086914,19.674484252929688,48.238365173339844
2019-08-07,117.60035705566406,28.948253631591797,48.69992446899414,32.41819381713867,55.569522857666016,193.02008056640625,105.57533264160156,25.965099334716797,19.674484252929688,48.297271728515625
2019-08-08,119.3265151977539,29.58899688720703,50.464847564697266,32.932926177978516,56.384986877441406,198.3692626953125,107.12124633789062,26.16560173034668,20.25800895690918,49.269309997558594
2019-08-09,118.3043212890625,29.1875057220459,50.046051025390625,32.48748779296875,56.30638122558594,194.90745544433594,106.07750701904297,26.01978302001953,20.14130401611328,48.7194709777832
2019-08-12,117.17606353759766,28.86795425415039,49.21843338012695,31.94305992126465,55.72671890258789,192.3551025390625,104.95498657226562,25.755483627319336,20.081008911132812,48.199092864990234
2019-08-13,118.47789764404297,29.592273712158203,49.467716217041016,32.230125427246094,56.198307037353516,198.03677368164062,107.07201385498047,26.356992721557617,20.197710037231445,48.90602493286133
2019-08-14,116.22137451171875,28.58936882019043,47.25408172607422,31.071977615356445,54.704925537109375,191.94439697265625,103.98017883300781,24.71651268005371,19.83009147644043,47.16814422607422
2019-08-15,116.46245574951172,28.617229461669922,47.30393981933594,31.111568450927734,54.51825714111328,191.59234619140625,104.4134292602539,23.431474685668945,20.014873504638672,47.2466926574707
2019-08-16,118.10182189941406,29.12523651123047,48.211326599121094,31.56690788269043,55.30424499511719,196.697021484375,105.99873352050781,23.923616409301758,20.219106674194336,47.855445861816406
2019-08-19,119.2975845336914,29.49886703491211,48.86943435668945,31.913366317749023,56.100059509277344,200.31529235839844,107.35755920410156,23.677547454833984,20.384437561035156,48.60165023803711
2019-08-20,118.19824981689453,29.42840003967285,48.78966522216797,31.73518943786621,55.73653793334961,199.5720977783203,107.21971893310547,23.51349639892578,20.19965362548828,48.27763366699219
2019-08-21,118.91184997558594,29.76761817932129,49.52754211425781,31.82427978515625,56.30638122558594,201.2052001953125,109.60258483886719,23.70488739013672,20.3941650390625,48.46419143676758
2019-08-22,119.4133071899414,29.595552444458008,49.36800003051758,31.873769760131836,56.050933837890625,201.2052001953125,110.19339752197266,23.158061981201172,20.384437561035156,48.35618209838867
2019-08-23,116.55888366699219,28.72046661376953,47.72273635864258,30.903696060180664,54.67545700073242,192.46266174316406,107.35755920410156,22.583894729614258,20.287185668945312,47.03069305419922
2019-08-26,117.79322814941406,29.097375869750977,47.65293502807617,31.289745330810547,55.46144104003906,194.0957794189453,108.48007202148438,22.510986328125,20.219106674194336,47.73761749267578
2019-08-27,117.4074935913086,29.102293014526367,47.293968200683594,30.95319366455078,54.82282638549805,193.37216186523438,108.19452667236328,21.690746307373047,20.131580352783203,47.825984954833984
2019-08-28,118.47789764404297,29.087543487548828,47.69282150268555,31.131364822387695,55.1568717956543,194.59454345703125,109.25796508789062,21.90947914123535,20.25800895690918,47.94380569458008
2019-08-29,118.93113708496094,29.528364181518555,48.101646423339844,31.51741600036621,55.36319351196289,199.26895141601562,110.95157623291016,22.1099796295166,20.24828338623047,48.69002151489258
2019-08-30,118.950439453125,29.597192764282227,47.84239196777344,31.64609718322754,55.038970947265625,200.20774841308594,110.95157623291016,21.88213539123535,20.4544620513916,48.631103515625
2019-09-03,119.11437225341797,29.26616668701172,46.87517166137695,30.824506759643555,54.77370071411133,196.9121856689453,110.48878479003906,22.465417861938477,20.4544620513916,48.150001525878906
2019-09-04,120.56085968017578,29.792198181152344,47.632991790771484,31.636201858520508,54.93090057373047,202.20269775390625,111.70976257324219,22.12820816040039,20.647022247314453,49.08275604248047
2019-09-05,120.87908172607422,30.452608108520508,48.929264068603516,31.893566131591797,55.530216217041016,208.42221069335938,113.31476593017578,23.08515167236328,20.70537757873535,49.91733169555664
2019-09-06,121.42876434326172,30.413280487060547,48.749778747558594,31.962862014770508,55.72671890258789,208.97958374023438,113.98433685302734,23.449703216552734,20.73455238342285,49.809326171875
2019-09-09,121.59268951416016,30.246129989624023,49.62725830078125,31.883665084838867,55.42213821411133,209.74237060546875,114.82129669189453,22.80262565612793,20.666473388671875,49.9664192199707
2019-09-10,120.98518371582031,30.10192108154297,49.75688552856445,31.93315887451172,56.14918518066406,210.68112182617188,114.80159759521484,23.23097038269043,20.588672637939453,50.03514862060547
2019-09-11,121.82414245605469,30.426393508911133,50.71413040161133,32.35880661010742,57.10219955444336,213.83981323242188,114.89022064208984,23.431474685668945,20.682037353515625,50.30025100708008
2019-09-12,122.37381744384766,30.62631607055664,51.392181396484375,32.34890365600586,56.86640167236328,214.31900024414062,115.01822662353516,22.857309341430664,20.773452758789062,50.447532653808594
2019-09-13,121.57341766357422,30.432947158813477,51.40214920043945,32.210330963134766,56.777976989746094,213.88870239257812,115.09700012207031,22.984899520874023,20.82499885559082,50.35916519165039
