Date,MCD,next_month,nnext_month,yield
2019-07-31,199.69743980751954,204.56160661124235,187.40285976634235,-0.06156603736646528
2019-08-31,207.6675208097084,187.40285976634235,186.47870738213618,-0.10203238977840995
2019-09-30,204.56160661124235,186.47870738213618,189.47993297914405,-0.07372680476038772
2019-10-31,187.40285976634235,189.47993297914405,205.1668501571148,0.09479039120812216
2019-11-30,186.47870738213618,205.1668501571148,187.38003391925676,0.004833401892225498
2019-12-31,189.47993297914405,187.38003391925676,159.56784574624868,-0.15786414298651763
2020-01-31,205.1668501571148,159.56784574624868,181.00118021267858,-0.11778545084613026
2020-02-29,187.38003391925676,181.00118021267858,181.01083052085795,-0.03399083277540306
2020-03-31,159.56784574624868,181.01083052085795,179.21354608298984,0.1231181648462094
2020-04-30,181.00118021267858,179.21354608298984,188.7440111291986,0.04277779242887872
2020-05-31,181.01083052085795,188.7440111291986,208.65015065996494,0.1526942893945901
2020-06-30,179.21354608298984,208.65015065996494,214.48399011032083,0.19680679724398753
2020-07-31,188.7440111291986,214.48399011032083,208.14201054033595,0.10277411873937055
2020-08-31,208.65015065996494,208.14201054033595,213.7413237816323,0.024400524541026578
2020-09-30,214.48399011032083,213.7413237816323,210.92997266861047,-0.016570082642915828
2020-10-31,208.14201054033595,210.92997266861047,204.30462074491564,-0.018436402076920735
2020-11-30,213.7413237816323,204.30462074491564,203.90159488605588,-0.046035688005886664
2020-12-31,210.92997266861047,203.90159488605588,221.70613892384088,0.051088833506657265
2021-01-31,204.30462074491564,221.70613892384088,233.516486468905,0.14298191405304433
2021-02-28,203.90159488605588,233.516486468905,232.6262592670157,0.14087513340448235
2021-03-31,221.70613892384088,232.6262592670157,229.74192837696336,0.036245227543667075
2021-04-30,233.516486468905,229.74192837696336,241.39860356020944,0.03375400688188254
2021-05-31,232.6262592670157,241.39860356020944,237.46,0.02077899867459063
2021-06-30,229.74192837696336,237.46,0.0,-1.0
2021-07-31,241.39860356020944,0.0,0.0,-1.0
2021-08-31,237.46,0.0,0.0,-1.0
