Date,SPY,next_month,nnext_month,yield
2019-07-31,286.2878975518068,286.97766784887926,293.3212116743625,0.024567277145492776
2019-08-31,281.49705347930364,293.3212116743625,303.9389115529914,0.07972324326775847
2019-09-30,286.97766784887926,303.9389115529914,312.7633336025591,0.08985251691172853
2019-10-31,293.3212116743625,312.7633336025591,312.63700776720106,0.06585202612036961
2019-11-30,303.9389115529914,312.63700776720106,287.88686140897954,-0.05281340931963293
2019-12-31,312.7633336025591,287.88686140897954,252.00391567092478,-0.19426643536433125
2020-01-31,312.63700776720106,252.00391567092478,284.00425770743055,-0.0915846472055903
2020-02-29,287.88686140897954,284.00425770743055,297.53571917352406,0.03351614490956952
2020-03-31,252.00391567092478,297.53571917352406,302.82018562960457,0.20164873162144584
2020-04-30,284.00425770743055,302.82018562960457,320.65393375203814,0.12904622043505617
2020-05-31,297.53571917352406,320.65393375203814,343.0345020180217,0.15291872508914667
2020-06-30,302.82018562960457,343.0345020180217,330.2055683241422,0.09043446901533217
2020-07-31,320.65393375203814,330.2055683241422,321.9723678836794,0.004111704217110276
2020-08-31,343.0345020180217,321.9723678836794,356.9955151465822,0.04069856835516507
2020-09-30,330.2055683241422,356.9955151465822,370.22790981566936,0.12120432037124144
2020-10-31,321.9723678836794,370.22790981566936,366.4551262048913,0.13815706799187946
2020-11-30,356.9955151465822,366.4551262048913,376.64461264974864,0.055040180252960695
2020-12-31,370.22790981566936,376.64461264974864,393.7461785160373,0.06352375949203097
2021-01-31,366.4551262048913,393.7461785160373,414.5794673497902,0.13132396766634874
2021-02-28,376.64461264974864,414.5794673497902,417.30160427895015,0.10794523607592253
2021-03-31,393.7461785160373,417.30160427895015,426.6795071640889,0.08364101150688431
2021-04-30,414.5794673497902,426.6795071640889,437.0958059303009,0.05431127287718075
2021-05-31,417.30160427895015,437.0958059303009,450.1037197005466,0.07860529431291018
2021-06-30,426.6795071640889,450.1037197005466,0.0,-1.0
2021-07-31,437.0958059303009,0.0,0.0,-1.0
2021-08-31,450.1037197005466,0.0,0.0,-1.0
