Date,MSFT,next_month,nnext_month,yield
2019-07-31,133.51027414198657,136.2143789092272,140.46648568090274,0.052102443677992286
2019-08-31,135.06807362746218,140.46648568090274,148.8198172304374,0.10181342810074098
2019-09-30,136.2143789092272,148.8198172304374,155.03293154472172,0.13815393636258572
2019-10-31,140.46648568090274,155.03293154472172,167.3510205254152,0.19139465698306132
2019-11-30,148.8198172304374,167.3510205254152,159.7037629757674,0.07313505652595284
2019-12-31,155.03293154472172,159.7037629757674,155.46497413066032,0.002786779438625102
2020-01-31,167.3510205254152,155.46497413066032,176.65891835619578,0.05561900848621958
2020-02-29,159.7037629757674,176.65891835619578,181.13762248640282,0.13421010946302922
2020-03-31,155.46497413066032,181.13762248640282,201.16407941177536,0.29395113295878006
2020-04-30,176.65891835619578,201.16407941177536,202.6467884635058,0.14710760344921228
2020-05-31,181.13762248640282,202.6467884635058,223.47242486069905,0.23371623074866246
2020-06-30,201.16407941177536,223.47242486069905,208.41109883807403,0.03602541491249184
2020-07-31,202.6467884635058,208.41109883807403,200.62280788163764,-0.009987725920623967
2020-08-31,223.47242486069905,200.62280788163764,212.67972886634084,-0.0482954261631421
2020-09-30,208.41109883807403,212.67972886634084,220.97550004415157,0.06028662233502026
2020-10-31,200.62280788163764,220.97550004415157,230.45354280299165,0.1486906460752627
2020-11-30,212.67972886634084,230.45354280299165,231.4002486083876,0.08802211589150434
2020-12-31,220.97550004415157,231.4002486083876,234.77595582407932,0.062452424713012857
2021-01-31,230.45354280299165,234.77595582407932,251.11676862924173,0.08966330295869872
2021-02-28,231.4002486083876,251.11676862924173,249.19999450719217,0.07692189617707856
2021-03-31,234.77595582407932,249.19999450719217,270.37919942325516,0.1516477420961021
2021-04-30,251.11676862924173,270.37919942325516,284.3622654399396,0.13239058861808942
2021-05-31,249.19999450719217,284.3622654399396,301.88,0.2113964954011563
2021-06-30,270.37919942325516,301.88,0.0,-1.0
2021-07-31,284.3622654399396,0.0,0.0,-1.0
2021-08-31,301.88,0.0,0.0,-1.0
