,nwords,npos,nneg
0,296,9,6
1,367,16,1
2,351,11,5
3,365,7,10
4,2723,59,47
5,444,7,5
6,102,2,3
7,679,20,7
8,308,7,6
9,421,12,6
10,117,1,1
11,292,17,3
12,146,0,1
13,674,21,3
14,285,15,7
15,106,2,3
16,715,24,10
17,585,5,8
18,467,14,10
19,303,7,6
20,347,10,6
21,197,1,8
22,216,1,2
23,244,6,5
24,407,13,19
25,306,9,9
26,485,16,16
27,105,1,2
28,411,13,9
29,532,15,6
30,401,14,9
31,120,4,0
32,517,13,15
33,652,13,25
34,212,4,0
