Date,SPY
2019-07-01,286.4115295410156
2019-08-01,281.6160583496094
2019-09-01,285.7760009765625
2019-10-01,293.4418640136719
2019-11-01,304.06396484375
2019-12-01,311.3678283691406
2020-01-01,312.7723083496094
2020-02-01,288.011474609375
2020-03-01,250.5736541748047
2020-04-01,284.052978515625
2020-05-01,297.586669921875
2020-06-01,301.5373229980469
2020-07-01,320.7005310058594
2020-08-01,343.08441162109375
2020-09-01,328.9214172363281
2020-10-01,322.00408935546875
2020-11-01,357.0306396484375
2020-12-01,368.68646240234375
2021-01-01,366.4849853515625
2021-02-01,376.6752624511719
2021-03-01,392.4905700683594
2021-04-01,414.6109313964844
2021-05-01,417.33331298828125
2021-06-01,425.3016052246094
2021-07-01,437.1096496582031
2021-08-01,450.11798095703125
2021-09-01,432.2452392578125
