Date,IYK,IXN,IBUY,PBS,PJP,SOXX,RTH,MJ,FTXG,XLC
2019-07-01,119.9244155883789,30.070785522460938,50.48479080200195,34.031681060791016,56.40462875366211,204.9506072998047,108.40129852294922,25.69762420654297,20.08295249938965,49.943721771240234
2019-08-01,118.950439453125,29.597192764282227,47.84239196777344,31.64609718322754,55.038970947265625,200.20774841308594,110.95157623291016,21.972932815551758,20.4544620513916,48.71430587768555
2019-09-01,121.97843933105469,30.311677932739258,46.62588882446289,31.062076568603516,55.66776657104492,206.74017333984375,112.71412658691406,18.99867057800293,20.666473388671875,48.7044677734375
2019-10-01,122.95524597167969,31.48665428161621,48.2811279296875,31.463703155517578,58.83522033691406,220.37709045410156,114.5062026977539,17.958147048950195,20.339534759521484,49.9024772644043
2019-11-01,125.27295684814453,33.07950210571289,49.189517974853516,32.78129196166992,62.834407806396484,229.33558654785156,118.16914367675781,15.985435485839844,20.64667320251465,51.814979553222656
2019-12-01,129.1519775390625,34.49373245239258,51.2097053527832,33.692710876464844,63.750484466552734,246.65338134765625,118.26760864257812,15.855775833129883,21.51934051513672,52.869815826416016
2020-01-01,131.28944396972656,35.49105453491211,51.41999816894531,33.66951370239258,61.82469177246094,239.60044860839844,118.76763916015625,15.617871284484863,21.170928955078125,53.26150131225586
2020-02-01,120.54385375976562,33.12465286254883,49.08000183105469,30.521068572998047,57.60824966430664,228.4908447265625,111.8023452758789,13.134495735168457,18.94905662536621,50.14939498901367
2020-03-01,105.60153198242188,30.051301956176758,41.5099983215332,23.856687545776367,54.320011138916016,202.2891845703125,104.61846160888672,10.764433860778809,16.867218017578125,43.707828521728516
2020-04-01,117.45790100097656,33.9090576171875,53.83000183105469,27.730173110961914,61.847049713134766,232.49266052246094,120.11896514892578,11.508269309997559,18.45176124572754,49.81512451171875
2020-05-01,122.31721496582031,36.371036529541016,64.0,30.42174530029297,64.1343765258789,249.13034057617188,128.06793212890625,13.13049602508545,19.016408920288086,53.520545959472656
2020-06-01,125.21317291259766,38.81489181518555,70.2699966430664,32.23930358886719,64.08486938476562,267.934326171875,131.6946563720703,12.28121280670166,18.92606544494629,53.54035949707031
2020-07-01,136.7527313232422,41.46041488647461,84.33000183105469,34.060245513916016,64.48958587646484,287.8686218261719,140.5677032470703,12.604686737060547,20.48870086669922,57.708919525146484
2020-08-01,151.74716186523438,45.508480072021484,91.0,36.3972282409668,65.13478088378906,304.5524597167969,151.08023071289062,12.30272102355957,21.258380889892578,62.8017578125
2020-09-01,147.13653564453125,43.63670349121094,88.2300033569336,36.049163818359375,63.39771270751953,301.96514892578125,147.93045043945312,10.140247344970703,20.41774559020996,58.96971893310547
2020-10-01,143.40480041503906,41.46537399291992,88.73999786376953,35.42563247680664,61.52292251586914,303.9226379394531,143.3101043701172,10.608550071716309,20.948841094970703,58.8954963684082
2020-11-01,161.69808959960938,46.713294982910156,105.6500015258789,43.03388977050781,66.47499084472656,359.9654235839844,157.01214599609375,15.665424346923828,22.49327278137207,65.06360626220703
2020-12-01,171.75100708007812,49.65749740600586,114.31999969482422,45.84844207763672,70.99945831298828,377.2468566894531,156.07814025878906,14.200811386108398,22.938783645629883,67.13291931152344
2021-01-01,171.21844482421875,49.71703338623047,123.95999908447266,47.22694778442383,76.91947174072266,390.21734619140625,156.88999938964844,18.977542877197266,23.69002342224121,66.64225006103516
2021-02-01,167.15176391601562,50.48576736450195,130.58999633789062,53.33585739135742,76.3416519165039,415.6289978027344,153.60000610351562,22.474193572998047,24.217130661010742,71.31558227539062
2021-03-01,175.9811553955078,51.09178924560547,124.18000030517578,50.226593017578125,78.58318328857422,422.687255859375,165.0800018310547,22.81290054321289,27.19081687927246,73.05935668945312
2021-04-01,181.43016052246094,53.5324821472168,125.19999694824219,51.940834045410156,77.82624053955078,421.52630615234375,173.66000366210938,21.316869735717773,25.830184936523438,77.90995788574219
2021-05-01,181.20077514648438,53.15226364135742,119.66000366210938,53.04893112182617,78.50498962402344,432.1636047363281,170.80999755859375,21.516279220581055,26.56761932373047,78.64862823486328
2021-06-01,183.3948516845703,56.03958511352539,129.69000244140625,56.2534294128418,80.31165313720703,453.67791748046875,175.5800018310547,20.51923179626465,25.566102981567383,80.82471466064453
2021-07-01,186.38999938964844,58.150001525878906,120.87000274658203,53.2400016784668,81.16000366210938,456.9100036621094,176.6300048828125,17.959999084472656,24.87700080871582,82.4000015258789
2021-08-01,186.5500030517578,60.130001068115234,115.87999725341797,54.02000045776367,82.16999816894531,468.19000244140625,181.33999633789062,16.709999084472656,24.530000686645508,85.62000274658203
