Date,XLC,3_month,per3month
<<<<<<< HEAD
2019-08-01,49.85841751098633,49.81724166870117,-0.00082585537890534
2019-09-01,48.631103515625,51.726478576660156,0.06365010944159684
2019-10-01,48.62128829956055,52.77951431274414,0.08552274443170559
2019-11-01,49.81724166870117,53.170528411865234,0.06731177060071637
2019-12-01,51.726478576660156,50.063743591308594,-0.032144755086842815
2020-01-01,52.77951431274414,43.6331787109375,-0.17329328852118986
2020-02-01,53.170528411865234,49.73004150390625,-0.06470665255211616
2020-03-01,50.063743591308594,53.42913818359375,0.06722219216681614
2020-04-01,43.6331787109375,53.448917388916016,0.22496043075399436
2020-05-01,49.73004150390625,57.610355377197266,0.15846183986538648
2020-06-01,53.42913818359375,62.69449234008789,0.1734138799816766
2020-07-01,53.448917388916016,58.86899948120117,0.10140677037191304
2020-08-01,57.610355377197266,58.79490280151367,0.020561362910551696
2020-09-01,62.69449234008789,64.95247650146484,0.03601567023030444
2020-10-01,58.86899948120117,67.01824951171875,0.13843024516018665
2020-11-01,58.79490280151367,66.52842712402344,0.13153392477945666
2020-12-01,64.95247650146484,71.19377136230469,0.09609017541770076
2021-01-01,67.01824951171875,72.93457794189453,0.08827936380435089
2021-02-01,66.52842712402344,77.77688598632812,0.16907748083890692
2021-03-01,71.19377136230469,78.51429748535156,0.10282537338544351
2021-04-01,72.93457794189453,80.68666076660156,0.10628817007596801
2021-05-01,77.77688598632812,82.25926208496094,0.05763121063269027
2021-06-01,78.51429748535156,85.47376251220703,0.0886394612160148
=======
2010-08-01,,,
2010-09-01,,,
2010-10-01,,,
2010-11-01,,,
2010-12-01,,,
2011-01-01,,,
2011-02-01,,,
2011-03-01,,,
2011-04-01,,,
2011-05-01,,,
2011-06-01,,,
2011-07-01,,,
2011-08-01,,,
2011-09-01,,,
2011-10-01,,,
2011-11-01,,,
2011-12-01,,,
2012-01-01,,,
2012-02-01,,,
2012-03-01,,,
2012-04-01,,,
2012-05-01,,,
2012-06-01,,,
2012-07-01,,,
2012-08-01,,,
2012-09-01,,,
2012-10-01,,,
2012-11-01,,,
2012-12-01,,,
2013-01-01,,,
2013-02-01,,,
2013-03-01,,,
2013-04-01,,,
2013-05-01,,,
2013-06-01,,,
2013-07-01,,,
2013-08-01,,,
2013-09-01,,,
2013-10-01,,,
2013-11-01,,,
2013-12-01,,,
2014-01-01,,,
2014-02-01,,,
2014-03-01,,,
2014-04-01,,,
2014-05-01,,,
2014-06-01,,,
2014-07-01,,,
2014-08-01,,,
2014-09-01,,,
2014-10-01,,,
2014-11-01,,,
2014-12-01,,,
2015-01-01,,,
2015-02-01,,,
2015-03-01,,,
2015-04-01,,,
2015-05-01,,,
2015-06-01,,,
2015-07-01,,,
2015-08-01,,,
2015-09-01,,,
2015-10-01,,,
2015-11-01,,,
2015-12-01,,,
2016-01-01,,,
2016-02-01,,,
2016-03-01,,,
2016-04-01,,,
2016-05-01,,,
2016-06-01,,,
2016-07-01,,,
2016-08-01,,,
2016-09-01,,,
2016-10-01,,,
2016-11-01,,,
2016-12-01,,,
2017-01-01,,,
2017-02-01,,,
2017-03-01,,,
2017-04-01,,,
2017-05-01,,,
2017-06-01,,,
2017-07-01,,,
2017-08-01,,,
2017-09-01,,,
2017-10-01,,,
2017-11-01,,,
2017-12-01,,,
2018-01-01,,,
2018-02-01,,,
2018-03-01,,,
2018-04-01,,47.18241500854492,
2018-05-01,,47.883426666259766,
2018-06-01,,47.70817184448242,
2018-07-01,47.18241500854492,44.94753646850586,-0.04736676873437524
2018-08-01,47.883426666259766,43.94197082519531,-0.08231357100935578
2018-09-01,47.70817184448242,40.30049514770508,-0.15527060481220392
2018-10-01,44.94753646850586,45.18203353881836,0.00521712842875847
2018-11-01,43.94197082519531,44.976348876953125,0.023539637215468815
2018-12-01,40.30049514770508,45.80889129638672,0.1366830885946402
2019-01-01,45.18203353881836,49.12757110595703,0.08732536493181177
2019-02-01,44.976348876953125,46.20365905761719,0.027287901559589763
2019-03-01,45.80889129638672,48.29357147216797,0.05424012905497311
2019-04-01,49.12757110595703,49.943721771240234,0.01661288451494887
2019-05-01,46.20365905761719,48.71430587768555,0.05433870111753522
2019-06-01,48.29357147216797,48.7044677734375,0.008508302217953265
2019-07-01,49.943721771240234,49.9024772644043,-0.0008258196500623604
2019-08-01,48.71430587768555,51.814979553222656,0.06365016640742957
2019-09-01,48.7044677734375,52.869815826416016,0.08552291490700198
2019-10-01,49.9024772644043,53.26150131225586,0.06731176951504915
2019-11-01,51.814979553222656,50.14939498901367,-0.03214484650135103
