기간	자치구	계	계	종합병원	종합병원	병원	병원	의원	의원	부속병의원	부속병의원	요양병원	요양병원	노인전문병원	노인전문병원	결핵병원	결핵병원	정신병원	정신병원	치과병원	치과병원	치과의원	치과의원	한방병원	한방병원	한방의원	한방의원	조산원	조산원
기간	자치구	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수
2018	구로구	556	4,403	2	1,264	8	560	259	400	2	-	7	1,652	1	430	-	-	-	-	2	-	164	-	1	55	110	42	-	-
2018	금천구	339	1,911	1	225	6	626	151	342	-	-	4	621	-	-	-	-	-	-	-	-	103	-	1	47	73	50	-	-
2018	영등포구	738	5,642	7	2,128	8	851	325	392	8	-	12	2,202	-	-	-	-	-	-	2	-	232	-	1	55	143	14	-	-
2018	동작구	570	2,927	2	1,599	5	393	257	323	-	-	3	535	-	-	-	-	-	-	2	-	168	-	1	30	132	47	-	-
2018	관악구	681	2,406	2	484	9	604	306	527	3	-	3	677	-	-	-	-	-	-	1	-	203	-	-	-	154	114	-	-
2018	서초구	1,201	3,501	1	1,356	11	948	600	324	6	-	4	571	-	-	-	-	-	-	5	-	309	8	5	289	260	5	-	-
2018	강남구	2,594	8,368	4	3,115	33	2,099	1,585	1,449	5	-	9	1,048	-	-	-	-	-	-	16	1	570	50	10	592	362	14	-	-
2018	송파구	1,129	6,513	2	3,155	16	1,324	527	704	3	-	7	1,009	1	213	-	-	-	-	3	-	318	-	2	82	250	26	-	-
2018	강동구	771	5,778	3	2,266	15	949	341	618	3	-	6	1,497	-	-	-	-	-	-	3	10	213	-	5	364	182	74	-	-
2019	서울시	17,610	88,029	57	33,427	226	18,452	8,591	9,826	57	1	119	20,082	4	993	1	430	1	199	65	83	4,821	65	53	3,533	3,612	932	3	6
2019	종로구	494	3,334	4	2,945	2	233	189	113	7	-	-	-	-	-	-	-	-	-	1	40	161	-	-	-	130	3	-	-
2019	중구	560	1,349	2	690	4	442	233	167	13	-	-	-	-	-	-	-	-	-	6	-	207	-	1	50	94	-	-	-
2019	용산구	307	920	1	725	2	112	133	82	2	-	-	-	-	-	-	-	-	-	-	-	106	-	-	-	62	-	1	1
2019	성동구	444	1,941	1	855	6	434	213	135	-	-	3	517	-	-	-	-	-	-	1	-	127	-	-	-	93	-	-	-
2019	광진구	552	2,699	2	1,099	5	438	268	552	-	-	3	576	-	-	-	-	-	-	2	-	154	-	-	-	118	34	-	-
2019	동대문구	607	5,617	4	1,700	14	1,640	260	485	-	-	9	1,578	-	-	-	-	-	-	4	26	157	-	1	183	157	-	1	5
2019	중랑구	511	3,018	3	1,043	12	813	237	637	-	-	2	272	-	-	-	-	1	199	-	-	148	-	-	-	108	54	-	-
2019	성북구	528	3,499	1	1,032	6	524	250	409	1	-	6	1,309	1	224	-	-	-	-	1	-	149	-	-	-	113	1	-	-
2019	강북구	461	2,233	1	201	8	736	225	389	-	-	6	870	-	-	-	-	-	-	1	-	124	1	-	-	96	36	-	-
2019	도봉구	369	2,648	1	417	8	1,197	162	140	1	-	5	551	1	160	-	-	-	-	1	-	103	-	2	183	85	-	-	-
2019	노원구	725	3,489	3	1,566	7	416	350	423	-	-	6	977	-	-	-	-	-	-	3	-	195	-	2	85	159	22	-	-
2019	은평구	662	3,736	2	1,004	10	804	320	353	-	-	6	1,030	-	-	1	430	-	-	1	-	175	-	2	76	145	39	-	-
2019	서대문구	435	3,742	2	2,661	5	255	208	273	-	-	3	436	-	-	-	-	-	-	2	7	125	-	1	90	89	20	-	-
2019	마포구	730	779	-	-	2	179	370	126	1	-	3	379	-	-	-	-	-	-	3	-	200	-	1	50	150	45	-	-
2019	양천구	626	2,622	3	1,196	5	421	279	350	-	-	5	372	-	-	-	-	-	-	4	-	177	-	3	197	150	86	-	-
2019	강서구	836	3,976	4	974	17	1,365	392	551	2	-	4	658	-	-	-	-	-	-	3	-	219	-	4	312	191	116	-	-
2019	구로구	559	4,675	2	1,277	8	663	259	264	2	-	8	1,895	1	404	-	-	-	-	1	-	166	-	2	128	110	44	-	-
