기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	성동구	성수1가2동	16,413	8,237	8,176	2,012	911	1,101	2,004	909	1,095	8	2	6
2017	성동구	성수2가1동	18,783	9,759	9,024	2,549	1,166	1,383	2,536	1,157	1,379	13	9	4
2017	성동구	성수2가3동	12,056	6,266	5,790	1,638	775	863	1,629	769	860	9	6	3
2017	성동구	송정동	11,987	6,369	5,618	1,564	725	839	1,549	715	834	15	10	5
2017	성동구	용답동	16,687	8,790	7,897	2,425	1,086	1,339	2,413	1,080	1,333	12	6	6
2017	성동구	왕십리도선동	27,582	13,237	14,345	3,190	1,353	1,837	3,186	1,352	1,834	4	1	3
2017	성동구	금호2.3가동	24,735	11,892	12,843	3,584	1,486	2,098	3,583	1,486	2,097	1	-	1
2017	성동구	옥수동	27,453	12,968	14,485	3,513	1,513	2,000	3,497	1,500	1,997	16	13	3
2017	광진구	소계	372,298	180,645	191,653	43,953	19,565	24,388	43,790	19,479	24,311	163	86	77
2017	광진구	화양동	24,610	11,392	13,218	2,174	971	1,203	2,162	964	1,198	12	7	5
2017	광진구	군자동	21,980	10,829	11,151	2,594	1,170	1,424	2,587	1,167	1,420	7	3	4
2017	광진구	중곡1동	16,359	8,043	8,316	2,178	1,000	1,178	2,156	982	1,174	22	18	4
2017	광진구	중곡2동	22,808	11,082	11,726	2,775	1,247	1,528	2,773	1,247	1,526	2	-	2
2017	광진구	중곡3동	17,992	8,921	9,071	2,432	1,076	1,356	2,429	1,075	1,354	3	1	2
2017	광진구	중곡4동	31,618	15,573	16,045	4,220	1,870	2,350	4,216	1,870	2,346	4	-	4
2017	광진구	능동	11,838	5,519	6,319	1,395	628	767	1,392	626	766	3	2	1
2017	광진구	구의1동	23,396	11,209	12,187	2,802	1,227	1,575	2,790	1,223	1,567	12	4	8
2017	광진구	구의2동	25,936	12,624	13,312	3,531	1,573	1,958	3,527	1,570	1,957	4	3	1
2017	광진구	구의3동	30,483	14,581	15,902	3,412	1,513	1,899	3,408	1,511	1,897	4	2	2
2017	광진구	광장동	36,589	17,796	18,793	3,237	1,425	1,812	3,231	1,422	1,809	6	3	3
2017	광진구	자양1동	24,450	11,896	12,554	2,950	1,276	1,674	2,926	1,263	1,663	24	13	11
2017	광진구	자양2동	27,727	13,605	14,122	3,311	1,503	1,808	3,308	1,503	1,805	3	-	3
2017	광진구	자양3동	30,517	14,710	15,807	3,396	1,507	1,889	3,390	1,504	1,886	6	3	3
2017	광진구	자양4동	25,995	12,865	13,130	3,546	1,579	1,967	3,495	1,552	1,943	51	27	24
2017	동대문구	소계	366,011	181,185	184,826	55,718	24,655	31,063	55,547	24,574	30,973	171	81	90
2017	동대문구	회기동	12,521	5,746	6,775	1,417	588	829	1,406	581	825	11	7	4
2017	동대문구	휘경1동	14,589	7,111	7,478	2,134	945	1,189	2,124	942	1,182	10	3	7
2017	동대문구	휘경2동	25,205	12,373	12,832	3,360	1,480	1,880	3,357	1,478	1,879	3	2	1
2017	동대문구	청량리동	23,063	11,555	11,508	4,900	2,135	2,765	4,880	2,126	2,754	20	9	11
2017	동대문구	용신동	32,957	16,957	16,000	5,393	2,492	2,901	5,365	2,480	2,885	28	12	16
2017	동대문구	제기동	27,770	13,898	13,872	5,105	2,248	2,857	5,089	2,239	2,850	16	9	7
2017	동대문구	전농1동	29,916	15,115	14,801	4,983	2,220	2,763	4,961	2,209	2,752	22	11	11
2017	동대문구	전농2동	20,436	9,833	10,603	3,138	1,388	1,750	3,136	1,387	1,749	2	1	1
2017	동대문구	답십리1동	25,166	12,303	12,863	3,325	1,424	1,901	3,320	1,423	1,897	5	1	4
2017	동대문구	답십리2동	29,722	14,616	15,106	4,761	2,075	2,686	4,752	2,071	2,681	9	4	5
2017	동대문구	장안1동	39,593	19,780	19,813	5,282	2,456	2,826	5,264	2,450	2,814	18	6	12
2017	동대문구	장안2동	31,447	15,836	15,611	4,106	1,869	2,237	4,102	1,867	2,235	4	2	2
2017	동대문구	이문1동	31,172	15,058	16,114	4,431	1,859	2,572	4,414	1,850	2,564	17	9	8
2017	동대문구	이문2동	22,454	11,004	11,450	3,383	1,476	1,907	3,377	1,471	1,906	6	5	1
2017	중랑구	소계	412,780	205,125	207,655	59,262	26,316	32,946	59,189	26,280	32,909	73	36	37
2017	중랑구	면목2동	27,057	13,570	13,487	3,815	1,687	2,128	3,812	1,684	2,128	3	3	-
2017	중랑구	면목4동	21,098	10,481	10,617	3,279	1,394	1,885	3,274	1,390	1,884	5	4	1
2017	중랑구	면목5동	10,487	5,356	5,131	1,521	704	817	1,517	702	815	4	2	2
2017	중랑구	면목7동	22,707	11,290	11,417	3,583	1,592	1,991	3,581	1,590	1,991	2	2	-
2017	중랑구	상봉1동	25,960	12,670	13,290	3,186	1,361	1,825	3,182	1,359	1,823	4	2	2
2017	중랑구	상봉2동	18,645	9,226	9,419	2,557	1,176	1,381	2,550	1,172	1,378	7	4	3
2017	중랑구	중화1동	21,179	10,456	10,723	2,913	1,289	1,624	2,909	1,287	1,622	4	2	2
2017	중랑구	중화2동	28,723	14,790	13,933	4,524	2,039	2,485	4,508	2,035	2,473	16	4	12
2017	중랑구	묵1동	36,269	17,758	18,511	4,887	2,221	2,666	4,885	2,220	2,665	2	1	1
2017	중랑구	묵2동	20,443	10,111	10,332	2,871	1,305	1,566	2,865	1,303	1,562	6	2	4
2017	중랑구	망우3동	18,757	9,390	9,367	2,864	1,293	1,571	2,862	1,292	1,570	2	1	1
2017	중랑구	신내1동	41,561	20,393	21,168	5,538	2,433	3,105	5,534	2,429	3,105	4	4	-
2017	중랑구	신내2동	23,018	11,137	11,881	3,256	1,367	1,889	3,256	1,367	1,889	-	-	-
2017	중랑구	면목본동	36,780	18,305	18,475	5,212	2,303	2,909	5,209	2,303	2,906	3	-	3
2017	중랑구	면목3.8동	27,685	13,874	13,811	4,271	1,903	2,368	4,267	1,900	2,367	4	3	1
2017	중랑구	망우본동	32,411	16,318	16,093	4,985	2,249	2,736	4,978	2,247	2,731	7	2	5
2017	성북구	소계	455,407	221,103	234,304	66,251	28,574	37,677	66,121	28,511	37,610	130	63	67
2017	성북구	돈암1동	16,745	7,890	8,855	2,509	1,064	1,445	2,509	1,064	1,445	-	-	-
2017	성북구	돈암2동	25,269	12,100	13,169	2,971	1,255	1,716	2,968	1,255	1,713	3	-	3
2017	성북구	안암동	17,387	8,508	8,879	2,012	846	1,166	2,007	844	1,163	5	2	3
2017	성북구	보문동	17,260	8,372	8,888	2,272	970	1,302	2,265	966	1,299	7	4	3
2017	성북구	정릉1동	18,901	9,042	9,859	2,706	1,158	1,548	2,702	1,157	1,545	4	1	3
2017	성북구	정릉2동	24,495	12,016	12,479	3,922	1,713	2,209	3,915	1,710	2,205	7	3	4
2017	성북구	정릉3동	17,366	8,712	8,654	2,981	1,252	1,729	2,980	1,252	1,728	1	-	1
2017	성북구	정릉4동	27,423	13,317	14,106	4,247	1,880	2,367	4,242	1,878	2,364	5	2	3
2017	성북구	길음1동	37,797	18,068	19,729	4,113	1,724	2,389	4,106	1,720	2,386	7	4	3
2017	성북구	길음2동	12,345	6,023	6,322	1,927	857	1,070	1,924	854	1,070	3	3	-
2017	성북구	월곡1동	28,161	13,678	14,483	4,137	1,783	2,354	4,134	1,782	2,352	3	1	2
