구,년도,거래금액(만원)/전용면적(㎡),거래금액(만원)/1평,거래금액(만원)/국민평수(32평)
노원구,2018,601.7186024712145,1989.1523302703038,63652.87456864972
송파구,2018,1203.0529368611185,3977.034352881433,127265.09929220585
강서구,2018,728.9633438033592,2409.7960874949877,77113.4747998396
강남구,2018,1702.489272931684,5628.063501118467,180098.03203579094
강동구,2018,858.3829295280271,2837.629412689809,90804.1412060739
구로구,2018,595.3857495699308,1968.2172801420338,62982.95296454508
성북구,2018,629.7307665231509,2081.7545220107345,66616.1447043435
양천구,2018,811.359133658935,2682.1788536627027,85829.72331720649
도봉구,2018,504.36474671764535,1667.3214142279912,53354.28525529572
서초구,2018,1461.5510610637164,4831.573574398518,154610.35438075257
영등포구,2018,845.0796022455271,2793.65147290923,89396.84713309536
성동구,2018,1048.7986309588516,3467.1027822443075,110947.28903181784
동대문구,2018,693.1248692138756,2291.321795774192,73322.29746477415
마포구,2018,989.6180663922576,3271.4645596085293,104686.86590747294
동작구,2018,879.3554500840991,2906.9600565562637,93022.72180980044
은평구,2018,627.2513408699285,2073.5580738776966,66353.85836408629
중랑구,2018,541.1876860234041,1789.0501346408792,57249.60430850813
관악구,2018,642.2276792878032,2123.0666287744307,67938.13212078178
서대문구,2018,727.4308630712018,2404.730035677833,76951.36114169065
강북구,2018,563.4393243359873,1862.609266800042,59603.49653760134
용산구,2018,1198.8451760563228,3963.1244003293514,126819.98081053924
광진구,2018,946.458796322905,3128.7892920023146,100121.25734407407
금천구,2018,516.0921035550209,1706.0895345506349,54594.865105620316
중구,2018,871.6071869932013,2881.34596465432,92203.07086893824
종로구,2018,764.3377954349025,2526.7364190817693,80855.56541061662
