Date,WMT
2019-07-31,106.28457625781655
2019-08-31,110.55794565853364
2019-09-30,114.83473648481335
2019-10-31,113.4607448618909
2019-11-30,115.23145237593883
2019-12-31,115.50315823024442
2020-01-31,111.27529944278596
2020-02-29,104.65651361690273
2020-03-31,110.92894956013781
2020-04-30,118.67113025026183
2020-05-31,121.65827794571287
2020-06-30,117.46113600143066
2020-07-31,126.89489896965377
2020-08-31,136.71961290476116
2020-09-30,137.7633492366232
2020-10-31,136.62114721307606
2020-11-30,150.44573032566407
2020-12-31,142.45955870352057
2021-01-31,138.84247937743743
2021-02-28,128.39643334555248
2021-03-31,134.805009634749
2021-04-30,138.85422143854623
2021-05-31,141.50786578437268
2021-06-30,140.5015787714725
2021-07-31,142.02595414745005
2021-08-31,148.1
