Date,NKE
2019-07-31,84.3003504348318
2019-08-31,83.01668823478961
2019-09-30,92.27132969244309
2019-10-31,87.97804060858473
2019-11-30,92.0895771797397
2019-12-31,99.7924383792858
2020-01-31,94.85748510438478
2020-02-29,88.28247250758554
2020-03-31,81.7240073313675
2020-04-30,86.10948705763379
2020-05-31,97.61149413249207
2020-06-30,97.08670115328512
2020-07-31,96.65102396300011
2020-08-31,111.03245795363694
2020-09-30,124.57784226918922
2020-10-31,119.1596885429683
2020-11-30,133.66763863039498
2020-12-31,140.66715826370213
2021-01-31,132.83187723508848
2021-02-28,134.28856336540818
2021-03-31,132.40545470862955
2021-04-30,132.13643918623262
2021-05-31,136.23643501831938
2021-06-30,154.23689613058892
2021-07-31,167.2355652199815
2021-08-31,164.74
