Date,AMD
2019-07-31,30.45
2019-08-31,31.45
2019-09-30,28.99
2019-10-31,33.93
2019-11-30,39.15
2019-12-31,45.86
2020-01-31,47.0
2020-02-29,45.48
2020-03-31,45.48
2020-04-30,52.39
2020-05-31,53.8
2020-06-30,52.61
2020-07-31,77.43
2020-08-31,90.82
2020-09-30,81.99
2020-10-31,75.29
2020-11-30,92.66
2020-12-31,91.71
2021-01-31,85.64
2021-02-28,84.51
2021-03-31,78.5
2021-04-30,81.62
2021-05-31,80.08
2021-06-30,93.93
2021-07-31,106.19
2021-08-31,110.72
