Date,PFE
2019-07-31,33.678730162857384
2019-08-31,31.11604954123885
2019-09-30,31.44865429020287
2019-10-31,33.58432688881392
2019-11-30,34.04446198039323
2019-12-31,34.627778307160085
2020-01-31,33.250570800920585
2020-02-29,29.839797963661812
2020-03-31,29.143357436682273
2020-04-30,34.25058796786556
2020-05-31,34.449382544695496
2020-06-30,29.497114669063702
2020-07-31,35.05145714064369
2020-08-31,34.42293568983693
2020-09-30,33.43005397769292
2020-10-31,32.318755180614296
2020-11-30,37.18549340407672
2020-12-31,35.729522636493456
2021-01-31,35.22520835961476
2021-02-28,32.86050774271584
2021-03-31,35.549005539522085
2021-04-30,37.923518192175784
2021-05-31,38.380192218619726
2021-06-30,38.806308476146356
2021-07-31,42.81
2021-08-31,46.07
