Date,MO
2019-07-31,39.44181201424168
2019-08-31,36.65147349698175
2019-09-30,34.95699667890917
2019-10-31,38.281757487734524
2019-11-30,42.478306477794284
2019-12-31,43.370452294034344
2020-01-31,41.30229608365964
2020-02-29,35.08044798858278
2020-03-31,34.47492556570106
2020-04-30,34.99200487338419
2020-05-31,34.81370166383828
2020-06-30,35.7431749243334
2020-07-31,37.4734177869126
2020-08-31,39.83201200484951
2020-09-30,35.891429418032295
2020-10-31,33.51352933236556
2020-11-30,36.99678141097894
2020-12-31,38.8685958056994
2021-01-31,38.94443696824711
2021-02-28,41.33343358849985
2021-03-31,49.34288687414925
2021-04-30,46.05400407037973
2021-05-31,47.47179225851498
2021-06-30,46.80904404302821
2021-07-31,47.162468033285975
2021-08-31,49.3124639740207
