Date,KO
2019-07-31,48.9983312105309
2019-08-31,51.24203210768802
2019-09-30,51.0570682432811
2019-10-31,51.047689648820544
2019-11-30,50.456838197805354
2019-12-31,52.29936318817465
2020-01-31,55.18126125003432
2020-02-29,50.54187781274548
2020-03-31,42.16481781138073
2020-04-30,43.72753648280817
2020-05-31,44.48030950136163
2020-06-30,42.95735255821821
2020-07-31,45.41865118286097
2020-08-31,47.620359718185945
2020-09-30,47.85030447028064
2020-10-31,46.58062857690273
2020-11-30,50.409040621820864
2020-12-31,53.57425945156311
2021-01-31,47.03866871978051
2021-02-28,47.85928100897295
2021-03-31,51.92287382517437
2021-04-30,53.173908728569764
2021-05-31,54.464346306087855
2021-06-30,53.70497059347709
2021-07-31,56.60311352700053
2021-08-31,55.88850294065229
