Date,MCD
2019-07-31,199.69743980751954
2019-08-31,207.6675208097084
2019-09-30,204.56160661124235
2019-10-31,187.40285976634235
2019-11-30,186.47870738213618
2019-12-31,189.47993297914405
2020-01-31,205.1668501571148
2020-02-29,187.38003391925676
2020-03-31,159.56784574624868
2020-04-30,181.00118021267858
2020-05-31,181.01083052085795
2020-06-30,179.21354608298984
2020-07-31,188.7440111291986
2020-08-31,208.65015065996494
2020-09-30,214.48399011032083
2020-10-31,208.14201054033595
2020-11-30,213.7413237816323
2020-12-31,210.92997266861047
2021-01-31,204.30462074491564
2021-02-28,203.90159488605588
2021-03-31,221.70613892384088
2021-04-30,233.516486468905
2021-05-31,232.6262592670157
2021-06-30,229.74192837696336
2021-07-31,241.39860356020944
2021-08-31,237.46
