Date,MSFT
2019-07-31,133.51027414198657
2019-08-31,135.06807362746218
2019-09-30,136.2143789092272
2019-10-31,140.46648568090274
2019-11-30,148.8198172304374
2019-12-31,155.03293154472172
2020-01-31,167.3510205254152
2020-02-29,159.7037629757674
2020-03-31,155.46497413066032
2020-04-30,176.65891835619578
2020-05-31,181.13762248640282
2020-06-30,201.16407941177536
2020-07-31,202.6467884635058
2020-08-31,223.47242486069905
2020-09-30,208.41109883807403
2020-10-31,200.62280788163764
2020-11-30,212.67972886634084
2020-12-31,220.97550004415157
2021-01-31,230.45354280299165
2021-02-28,231.4002486083876
2021-03-31,234.77595582407932
2021-04-30,251.11676862924173
2021-05-31,249.19999450719217
2021-06-30,270.37919942325516
2021-07-31,284.3622654399396
2021-08-31,301.88
