구,거래금액(만원)/전용면적(㎡)
노원구,843.8968597643534
송파구,1601.0066861158064
강서구,964.7405187487137
강남구,2086.8278562006344
강동구,1169.9906418823857
구로구,769.8062676918408
성북구,914.7996595968625
양천구,1143.551785543907
도봉구,675.1603705711274
서초구,1914.609284715775
영등포구,1180.242814223721
성동구,1471.158544187133
동대문구,995.6521127510943
마포구,1344.6443989178108
동작구,1230.760079495152
은평구,827.5980901999624
중랑구,760.153704251146
관악구,871.08553370393
서대문구,1038.870468459652
강북구,771.1488544287042
용산구,1594.030917304014
광진구,1291.452455280673
금천구,739.4623545059901
중구,1138.6345011712515
종로구,1034.7218861050376
