Date,SHV
2007-01-11,
2007-01-12,0.0005519779208831288
2007-01-16,-0.000183891136447345
2007-01-17,0.0005517748758507857
2007-01-18,-9.191176470579876e-05
2007-01-19,-0.00018384042650987364
2007-01-22,0.00036774846005327433
2007-01-23,9.190331770958515e-05
2007-01-24,0.0005513692335967768
2007-01-25,0.0
2007-01-26,-9.184423218222548e-05
2007-01-29,0.0007348213465601106
2007-01-30,0.0
2007-01-31,0.00045892611289577445
2007-02-01,3.284403669723268e-05
2007-02-02,0.0002760143527464898
2007-02-05,0.00027593818984539276
2007-02-06,-9.19540229885607e-05
2007-02-07,0.0005517748758507857
2007-02-08,-9.191176470579876e-05
2007-02-09,0.0002757606397645329
2007-02-12,0.0
2007-02-13,0.0
2007-02-14,0.0006432641058629063
2007-02-15,9.183579759408644e-05
2007-02-16,0.000183654729109195
2007-02-20,9.181050312156991e-05
2007-02-21,0.0003672082989074621
2007-02-22,0.0
2007-02-23,0.00045884188308709106
2007-02-26,9.172628875431244e-05
2007-02-27,0.00018343575162793613
2007-02-28,0.0006419073819350363
2007-03-01,-2.9417155425148778e-05
2007-03-02,0.000551166636046263
2007-03-05,-0.0001836210062430288
2007-03-06,9.182736455448648e-05
2007-03-07,0.0003672757322559228
2007-03-08,9.178522257902166e-05
2007-03-09,-9.177679882521605e-05
2007-03-12,0.0002753556677375091
2007-03-13,0.0006423196916864882
2007-03-14,9.17010545622432e-05
2007-03-15,-0.00011920044012481146
2007-03-16,0.00021091822791996506
2007-03-19,0.0
2007-03-20,0.0002750527184378626
2007-03-21,0.0006416131988999929
2007-03-22,-0.0002748007694420851
2007-03-23,0.00036650174088337373
2007-03-26,9.159186664220442e-05
2007-03-27,0.0002747504350215646
2007-03-28,0.00027467496795474666
2007-03-29,0.00027459954233410855
2007-03-30,0.0
2007-04-02,4.319180087852814e-05
2007-04-03,0.00018348623853214896
2007-04-04,0.0005503577325260967
2007-04-05,-9.167583425018222e-05
2007-04-09,9.168423947936155e-05
2007-04-10,0.0002750275027503246
2007-04-11,0.00027495188342041565
2007-04-12,0.0002748763056625858
2007-04-13,0.00018320051296139006
2007-04-16,0.00018316695668096905
2007-04-17,9.156670634546948e-05
2007-04-18,0.0006409082585607795
2007-04-19,9.149967975097262e-05
2007-04-20,-9.149130832553087e-05
2007-04-23,0.0003239088663189449
2007-04-24,0.00013354627561379395
2007-04-25,0.000274373513810211
2007-04-26,-0.00027429825363456395
2007-04-27,0.0003731479787816294
2007-04-30,0.0001755335488495824
2007-05-01,0.00028043875685535014
2007-05-02,0.0004582951420717407
2007-05-03,9.161704076943167e-05
2007-05-04,0.00018321729571280088
2007-05-07,-0.00018318373328451987
2007-05-08,0.0003664345914253797
2007-05-09,0.0005494505494505475
2007-05-10,9.152480322138778e-05
2007-05-11,9.151642719884556e-05
2007-05-14,9.150805270863316e-05
2007-05-15,0.0003659987190045566
2007-05-16,0.0005487972194273549
2007-05-17,9.141603437257118e-05
2007-05-18,9.140767824500351e-05
2007-05-21,0.0
2007-05-22,0.0
2007-05-23,0.0005483959418701723
2007-05-24,0.00018269845619789393
2007-05-25,0.00018266508356945543
2007-05-29,9.131586156496674e-05
2007-05-30,0.0004565376186997927
2007-05-31,0.00012777220041981785
2007-06-01,0.00011552781427925929
2007-06-04,0.00045795933321124416
2007-06-05,-9.15499404926523e-05
2007-06-06,0.0001831166453030164
2007-06-07,0.00045770779934084516
2007-06-08,0.00018299935950238932
2007-06-11,9.148293843175281e-05
2007-06-12,9.147457006952742e-05
2007-06-13,-0.00018293240647571096
2007-06-14,0.0007318635074557989
2007-06-15,0.0002742481031174915
2007-06-18,9.139097057198065e-05
2007-06-19,0.0002741478570773559
2007-06-20,0.00027407272062873744
2007-06-21,9.13325417846167e-05
2007-06-22,0.0002739726027396472
2007-06-25,9.129918743733256e-05
2007-06-26,5.0209968961212326e-05
2007-06-27,0.00031493762865641983
2007-06-28,0.0002737725862382856
2007-06-29,0.00027369765532347934
2007-07-02,3.201386355367042e-05
2007-07-03,-0.00018320051296139006
2007-07-05,0.0004580852038478245
2007-07-06,0.0
2007-07-09,0.00027472527472527375
2007-07-10,0.0003661997619699431
2007-07-11,0.0
2007-07-12,0.00018303285439746908
2007-07-13,0.00018299935950216728
2007-07-16,9.148293843197486e-05
2007-07-17,0.00018294914013905483
2007-07-18,0.000274373513810211
2007-07-19,0.00018286550242296862
2007-07-20,0.00036566413748961857
2007-07-23,0.0
2007-07-24,9.138261902585931e-05
2007-07-25,0.00027412280701755165
2007-07-26,0.0005480953685941259
2007-07-27,-9.129918743733256e-05
2007-07-30,9.130752374009177e-05
2007-07-31,0.00036519674974888616
2007-08-01,0.00035128228529712757
2007-08-02,0.0003663674665688177
2007-08-03,0.0002746749679545246
2007-08-06,-9.153318077803618e-05
2007-08-07,9.154155986812462e-05
2007-08-08,0.00018306636155607237
2007-08-09,0.0006406149903908087
2007-08-10,0.00018291567587325197
2007-08-13,0.00018288222384765795
2007-08-14,0.0005485463521668343
2007-08-15,0.001005116959064134
2007-08-16,0.0010041077133728926
2007-08-17,0.0
2007-08-20,0.00164143716943288
2007-08-21,0.0004552075746540041
2007-08-22,9.10000910001596e-05
2007-08-23,-9.099181073712881e-05
2007-08-24,-0.0013650013650012838
2007-08-27,-0.00045562238017138323
2007-08-28,0.0009116601331025098
2007-08-29,0.00018216595318332196
2007-08-30,0.0006374647117748378
2007-08-31,-0.0001820167455406363
2007-09-04,-2.020753686515775e-05
2007-09-05,0.00045687134502925275
2007-09-06,-0.0004566627089231945
